t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T20:48:08Z,1,1,1,1,50,0
5,2026-09-19T20:48:13Z,1,1,1,1,50,0
11,2026-09-19T20:48:19Z,1,1,1,1,50,0
16,2026-09-19T20:48:24Z,1,1,1,1,50,0
21,2026-09-19T20:48:29Z,1,1,1,1,50,0
26,2026-09-19T20:48:34Z,1,1,1,1,50,0
32,2026-09-19T20:48:40Z,1,1,1,1,50,0
37,2026-09-19T20:48:45Z,1,1,1,1,50,0
42,2026-09-19T20:48:50Z,1,1,1,1,50,0
47,2026-09-19T20:48:55Z,1,1,1,1,50,0
53,2026-09-19T20:49:01Z,1,1,1,1,50,0
58,2026-09-19T20:49:06Z,1,1,1,1,50,0
63,2026-09-19T20:49:11Z,1,1,1,1,50,0
68,2026-09-19T20:49:16Z,1,1,1,1,50,0
73,2026-09-19T20:49:21Z,1,1,1,1,50,0
79,2026-09-19T20:49:27Z,1,1,1,1,50,0
84,2026-09-19T20:49:32Z,1,1,1,1,50,0
89,2026-09-19T20:49:37Z,1,1,1,1,50,0
94,2026-09-19T20:49:42Z,1,1,1,1,50,0
100,2026-09-19T20:49:48Z,1,1,1,1,50,0
105,2026-09-19T20:49:53Z,1,1,1,1,50,0
110,2026-09-19T20:49:58Z,1,1,1,1,50,0
115,2026-09-19T20:50:03Z,1,1,1,1,50,0
121,2026-09-19T20:50:09Z,5,1,1,491,50,0
126,2026-09-19T20:50:14Z,5,1,5,491,50,0
131,2026-09-19T20:50:19Z,5,1,5,491,50,0
136,2026-09-19T20:50:24Z,10,5,5,491,50,0
142,2026-09-19T20:50:30Z,10,5,10,491,50,0
147,2026-09-19T20:50:35Z,10,5,10,491,50,0
152,2026-09-19T20:50:40Z,10,10,10,491,50,0
157,2026-09-19T20:50:45Z,10,10,10,491,50,0
163,2026-09-19T20:50:51Z,10,10,10,491,50,0
168,2026-09-19T20:50:56Z,10,10,10,491,50,0
173,2026-09-19T20:51:01Z,10,10,10,491,50,0
178,2026-09-19T20:51:06Z,10,10,10,319,50,0
184,2026-09-19T20:51:12Z,10,10,10,319,50,0
189,2026-09-19T20:51:17Z,10,10,10,319,50,0
194,2026-09-19T20:51:22Z,10,10,10,319,50,0
200,2026-09-19T20:51:28Z,10,10,10,319,50,0
205,2026-09-19T20:51:33Z,10,10,10,319,50,0
210,2026-09-19T20:51:38Z,10,10,10,319,50,0
215,2026-09-19T20:51:43Z,10,10,10,319,50,0
221,2026-09-19T20:51:49Z,10,10,10,319,50,0
226,2026-09-19T20:51:54Z,10,10,10,319,50,0
231,2026-09-19T20:51:59Z,10,10,10,319,50,0
236,2026-09-19T20:52:04Z,10,10,10,319,50,0
242,2026-09-19T20:52:10Z,10,10,10,176,50,0
247,2026-09-19T20:52:15Z,10,10,10,176,50,0
252,2026-09-19T20:52:20Z,10,10,10,176,50,0
257,2026-09-19T20:52:25Z,10,10,10,176,50,0
262,2026-09-19T20:52:30Z,10,10,10,176,50,0
268,2026-09-19T20:52:36Z,10,10,10,176,50,0
273,2026-09-19T20:52:41Z,10,10,10,176,50,0
278,2026-09-19T20:52:46Z,10,10,10,176,50,0
283,2026-09-19T20:52:51Z,10,10,10,176,50,0
289,2026-09-19T20:52:57Z,10,10,10,176,50,0
294,2026-09-19T20:53:02Z,10,10,10,176,50,0
299,2026-09-19T20:53:07Z,10,10,10,4,50,0
304,2026-09-19T20:53:12Z,10,10,10,4,50,0
310,2026-09-19T20:53:18Z,10,10,10,4,50,0
315,2026-09-19T20:53:23Z,10,10,10,4,50,0
320,2026-09-19T20:53:28Z,10,10,10,4,50,0
325,2026-09-19T20:53:33Z,10,10,10,4,50,0
330,2026-09-19T20:53:38Z,10,10,10,4,50,0
336,2026-09-19T20:53:44Z,10,10,10,4,50,0
341,2026-09-19T20:53:49Z,10,10,10,4,50,0
346,2026-09-19T20:53:54Z,5,10,5,4,50,0
351,2026-09-19T20:53:59Z,5,10,5,4,50,0
357,2026-09-19T20:54:05Z,5,10,5,4,50,0
362,2026-09-19T20:54:10Z,5,5,5,1,50,0
367,2026-09-19T20:54:15Z,5,5,5,1,50,0
372,2026-09-19T20:54:20Z,5,5,5,1,50,0
378,2026-09-19T20:54:26Z,5,5,5,1,50,0
383,2026-09-19T20:54:31Z,5,5,5,1,50,0
388,2026-09-19T20:54:36Z,5,5,5,1,50,0
393,2026-09-19T20:54:41Z,5,5,5,1,50,0
398,2026-09-19T20:54:46Z,5,5,5,1,50,0
404,2026-09-19T20:54:52Z,2,5,2,1,50,0
409,2026-09-19T20:54:57Z,2,5,2,1,50,0
414,2026-09-19T20:55:02Z,2,5,2,1,50,0
419,2026-09-19T20:55:07Z,2,2,2,1,50,0
425,2026-09-19T20:55:13Z,2,2,2,1,50,0
430,2026-09-19T20:55:18Z,2,2,2,1,50,0
