t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T19:52:06Z,1,1,1,1,50,0
5,2026-09-19T19:52:11Z,1,1,1,1,50,0
10,2026-09-19T19:52:16Z,1,1,1,1,50,0
15,2026-09-19T19:52:21Z,1,1,1,1,50,0
21,2026-09-19T19:52:27Z,1,1,1,1,50,0
26,2026-09-19T19:52:32Z,1,1,1,1,50,0
31,2026-09-19T19:52:37Z,1,1,1,1,50,0
36,2026-09-19T19:52:42Z,1,1,1,1,50,0
42,2026-09-19T19:52:48Z,1,1,1,1,50,0
47,2026-09-19T19:52:53Z,1,1,1,1,50,0
52,2026-09-19T19:52:58Z,1,1,1,1,50,0
57,2026-09-19T19:53:03Z,1,1,1,1,50,0
62,2026-09-19T19:53:08Z,1,1,1,12,50,0
68,2026-09-19T19:53:14Z,1,1,1,12,50,0
73,2026-09-19T19:53:19Z,1,1,1,12,50,0
78,2026-09-19T19:53:24Z,1,1,1,12,50,0
83,2026-09-19T19:53:29Z,1,1,1,12,50,0
89,2026-09-19T19:53:35Z,1,1,1,12,50,0
94,2026-09-19T19:53:40Z,1,1,1,12,50,0
99,2026-09-19T19:53:45Z,1,1,1,12,50,0
104,2026-09-19T19:53:50Z,1,1,1,12,50,0
110,2026-09-19T19:53:56Z,1,1,1,12,50,0
115,2026-09-19T19:54:01Z,1,1,1,12,50,0
120,2026-09-19T19:54:06Z,5,1,1,501,50,0
125,2026-09-19T19:54:11Z,5,1,5,501,50,0
130,2026-09-19T19:54:16Z,5,1,5,501,50,0
136,2026-09-19T19:54:22Z,10,5,10,501,50,0
141,2026-09-19T19:54:27Z,10,5,10,501,50,0
146,2026-09-19T19:54:32Z,10,5,10,501,50,0
151,2026-09-19T19:54:37Z,10,10,10,501,50,0
157,2026-09-19T19:54:43Z,10,10,10,501,50,0
162,2026-09-19T19:54:48Z,10,10,10,501,50,0
167,2026-09-19T19:54:53Z,10,10,10,501,50,0
172,2026-09-19T19:54:58Z,10,10,10,501,50,0
178,2026-09-19T19:55:04Z,10,10,10,501,50,0
183,2026-09-19T19:55:09Z,10,10,10,222,50,0
188,2026-09-19T19:55:14Z,10,10,10,222,50,0
193,2026-09-19T19:55:19Z,10,10,10,222,50,0
199,2026-09-19T19:55:25Z,10,10,10,222,50,0
204,2026-09-19T19:55:30Z,10,10,10,222,50,0
209,2026-09-19T19:55:35Z,10,10,10,222,50,0
214,2026-09-19T19:55:40Z,10,10,10,222,50,0
219,2026-09-19T19:55:45Z,10,10,10,222,50,0
225,2026-09-19T19:55:51Z,10,10,10,222,50,0
230,2026-09-19T19:55:56Z,10,10,10,222,50,0
235,2026-09-19T19:56:01Z,10,10,10,222,50,0
240,2026-09-19T19:56:06Z,10,10,10,98,50,0
246,2026-09-19T19:56:12Z,10,10,10,98,50,0
251,2026-09-19T19:56:17Z,10,10,10,98,50,0
256,2026-09-19T19:56:22Z,10,10,10,98,50,0
261,2026-09-19T19:56:27Z,10,10,10,98,50,0
267,2026-09-19T19:56:33Z,10,10,10,98,50,0
272,2026-09-19T19:56:38Z,10,10,10,98,50,0
277,2026-09-19T19:56:43Z,10,10,10,98,50,0
282,2026-09-19T19:56:48Z,10,10,10,98,50,0
287,2026-09-19T19:56:53Z,10,10,10,98,50,0
293,2026-09-19T19:56:59Z,10,10,10,98,50,0
298,2026-09-19T19:57:04Z,10,10,10,98,50,0
303,2026-09-19T19:57:09Z,10,10,10,96,50,0
308,2026-09-19T19:57:14Z,10,10,10,96,50,0
314,2026-09-19T19:57:20Z,10,10,10,96,50,0
319,2026-09-19T19:57:25Z,10,10,10,96,50,0
324,2026-09-19T19:57:30Z,10,10,10,96,50,0
329,2026-09-19T19:57:35Z,10,10,10,96,50,0
335,2026-09-19T19:57:41Z,10,10,10,96,50,0
340,2026-09-19T19:57:46Z,10,10,10,96,50,0
345,2026-09-19T19:57:51Z,10,10,10,96,50,0
350,2026-09-19T19:57:56Z,10,10,10,96,50,0
355,2026-09-19T19:58:01Z,10,10,10,96,50,0
361,2026-09-19T19:58:07Z,10,10,10,1,50,0
366,2026-09-19T19:58:12Z,10,10,10,1,50,0
371,2026-09-19T19:58:17Z,10,10,10,1,50,0
376,2026-09-19T19:58:22Z,10,10,10,1,50,0
382,2026-09-19T19:58:28Z,10,10,10,1,50,0
387,2026-09-19T19:58:33Z,10,10,10,1,50,0
392,2026-09-19T19:58:38Z,10,10,10,1,50,0
397,2026-09-19T19:58:43Z,10,10,10,1,50,0
402,2026-09-19T19:58:48Z,10,10,10,1,50,0
