t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T18:42:02Z,1,1,1,1,30,0
5,2026-09-19T18:42:07Z,1,1,1,1,30,0
11,2026-09-19T18:42:13Z,1,1,1,1,30,0
16,2026-09-19T18:42:18Z,1,1,1,1,30,0
21,2026-09-19T18:42:23Z,1,1,1,1,30,0
26,2026-09-19T18:42:28Z,1,1,1,1,30,0
31,2026-09-19T18:42:33Z,1,1,1,1,30,0
37,2026-09-19T18:42:39Z,1,1,1,1,30,0
42,2026-09-19T18:42:44Z,1,1,1,1,30,0
47,2026-09-19T18:42:49Z,1,1,1,1,30,0
52,2026-09-19T18:42:54Z,1,1,1,1,30,0
58,2026-09-19T18:43:00Z,1,1,1,1,30,0
63,2026-09-19T18:43:05Z,2,1,2,42,30,0
68,2026-09-19T18:43:10Z,2,1,2,42,30,0
73,2026-09-19T18:43:15Z,2,1,2,42,30,0
79,2026-09-19T18:43:21Z,2,2,2,42,30,0
84,2026-09-19T18:43:26Z,2,2,2,42,30,0
89,2026-09-19T18:43:31Z,2,2,2,42,30,0
94,2026-09-19T18:43:36Z,2,2,2,42,30,0
99,2026-09-19T18:43:41Z,2,2,2,42,30,0
105,2026-09-19T18:43:47Z,2,2,2,42,30,0
110,2026-09-19T18:43:52Z,2,2,2,42,30,0
115,2026-09-19T18:43:57Z,2,2,2,42,30,0
120,2026-09-19T18:44:02Z,6,2,2,493,30,0
126,2026-09-19T18:44:08Z,6,2,6,493,30,0
131,2026-09-19T18:44:13Z,6,2,6,493,30,0
136,2026-09-19T18:44:18Z,10,6,6,493,30,0
141,2026-09-19T18:44:23Z,10,6,10,493,30,0
147,2026-09-19T18:44:29Z,10,6,10,493,30,0
152,2026-09-19T18:44:34Z,10,10,10,493,30,0
157,2026-09-19T18:44:39Z,10,10,10,493,30,0
163,2026-09-19T18:44:45Z,10,10,10,493,30,0
168,2026-09-19T18:44:50Z,10,10,10,493,30,0
173,2026-09-19T18:44:55Z,10,10,10,493,30,0
178,2026-09-19T18:45:00Z,10,10,10,493,30,0
184,2026-09-19T18:45:06Z,10,10,10,271,30,0
189,2026-09-19T18:45:11Z,10,10,10,271,30,0
194,2026-09-19T18:45:16Z,10,10,10,271,30,0
199,2026-09-19T18:45:21Z,10,10,10,271,30,0
205,2026-09-19T18:45:27Z,10,10,10,271,30,0
210,2026-09-19T18:45:32Z,10,10,10,271,30,0
215,2026-09-19T18:45:37Z,10,10,10,271,30,0
221,2026-09-19T18:45:43Z,10,10,10,271,30,0
226,2026-09-19T18:45:48Z,10,10,10,271,30,0
231,2026-09-19T18:45:53Z,10,10,10,271,30,0
236,2026-09-19T18:45:58Z,10,10,10,271,30,0
242,2026-09-19T18:46:04Z,10,10,10,174,30,0
247,2026-09-19T18:46:09Z,10,10,10,174,30,0
252,2026-09-19T18:46:14Z,10,10,10,174,30,0
257,2026-09-19T18:46:19Z,10,10,10,174,30,0
263,2026-09-19T18:46:25Z,10,10,10,174,30,0
268,2026-09-19T18:46:30Z,10,10,10,174,30,0
273,2026-09-19T18:46:35Z,10,10,10,174,30,0
279,2026-09-19T18:46:41Z,10,10,10,174,30,0
284,2026-09-19T18:46:46Z,10,10,10,174,30,0
289,2026-09-19T18:46:51Z,10,10,10,174,30,0
294,2026-09-19T18:46:56Z,10,10,10,174,30,0
300,2026-09-19T18:47:02Z,10,10,10,163,30,0
305,2026-09-19T18:47:07Z,10,10,10,163,30,0
310,2026-09-19T18:47:12Z,10,10,10,163,30,0
315,2026-09-19T18:47:17Z,10,10,10,163,30,0
320,2026-09-19T18:47:22Z,10,10,10,163,30,0
326,2026-09-19T18:47:28Z,10,10,10,163,30,0
331,2026-09-19T18:47:33Z,10,10,10,163,30,0
336,2026-09-19T18:47:38Z,10,10,10,163,30,0
341,2026-09-19T18:47:43Z,10,10,10,163,30,0
347,2026-09-19T18:47:49Z,10,10,10,163,30,0
352,2026-09-19T18:47:54Z,10,10,10,163,30,0
357,2026-09-19T18:47:59Z,10,10,10,163,30,0
362,2026-09-19T18:48:04Z,10,10,10,1,30,0
367,2026-09-19T18:48:09Z,10,10,10,1,30,0
373,2026-09-19T18:48:15Z,10,10,10,1,30,0
378,2026-09-19T18:48:20Z,10,10,10,1,30,0
383,2026-09-19T18:48:25Z,10,10,10,1,30,0
388,2026-09-19T18:48:30Z,10,10,10,1,30,0
394,2026-09-19T18:48:36Z,10,10,10,1,30,0
399,2026-09-19T18:48:41Z,10,10,10,1,30,0
404,2026-09-19T18:48:46Z,10,10,10,1,30,0
