t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T19:45:07Z,1,1,1,1,50,0
5,2026-09-19T19:45:12Z,1,1,1,1,50,0
11,2026-09-19T19:45:18Z,1,1,1,1,50,0
16,2026-09-19T19:45:23Z,1,1,1,1,50,0
21,2026-09-19T19:45:28Z,1,1,1,1,50,0
26,2026-09-19T19:45:33Z,1,1,1,1,50,0
32,2026-09-19T19:45:39Z,1,1,1,1,50,0
37,2026-09-19T19:45:44Z,1,1,1,1,50,0
42,2026-09-19T19:45:49Z,1,1,1,1,50,0
47,2026-09-19T19:45:54Z,1,1,1,1,50,0
52,2026-09-19T19:45:59Z,1,1,1,1,50,0
58,2026-09-19T19:46:05Z,1,1,1,1,50,0
63,2026-09-19T19:46:10Z,1,1,1,1,50,0
68,2026-09-19T19:46:15Z,1,1,1,1,50,0
73,2026-09-19T19:46:20Z,1,1,1,1,50,0
79,2026-09-19T19:46:26Z,1,1,1,1,50,0
84,2026-09-19T19:46:31Z,1,1,1,1,50,0
89,2026-09-19T19:46:36Z,1,1,1,1,50,0
94,2026-09-19T19:46:41Z,1,1,1,1,50,0
100,2026-09-19T19:46:47Z,1,1,1,1,50,0
105,2026-09-19T19:46:52Z,1,1,1,1,50,0
110,2026-09-19T19:46:57Z,1,1,1,1,50,0
115,2026-09-19T19:47:02Z,1,1,1,1,50,0
120,2026-09-19T19:47:07Z,5,1,5,500,50,0
126,2026-09-19T19:47:13Z,5,1,5,500,50,0
131,2026-09-19T19:47:18Z,5,1,5,500,50,0
136,2026-09-19T19:47:23Z,10,5,10,500,50,0
141,2026-09-19T19:47:28Z,10,5,10,500,50,0
147,2026-09-19T19:47:34Z,10,5,10,500,50,0
152,2026-09-19T19:47:39Z,10,10,10,500,50,0
157,2026-09-19T19:47:44Z,10,10,10,500,50,0
162,2026-09-19T19:47:49Z,10,10,10,500,50,0
168,2026-09-19T19:47:55Z,10,10,10,500,50,0
173,2026-09-19T19:48:00Z,10,10,10,500,50,0
178,2026-09-19T19:48:05Z,10,10,10,223,50,0
183,2026-09-19T19:48:10Z,10,10,10,223,50,0
188,2026-09-19T19:48:15Z,10,10,10,223,50,0
194,2026-09-19T19:48:21Z,10,10,10,223,50,0
199,2026-09-19T19:48:26Z,10,10,10,223,50,0
204,2026-09-19T19:48:31Z,10,10,10,223,50,0
209,2026-09-19T19:48:36Z,10,10,10,223,50,0
215,2026-09-19T19:48:42Z,10,10,10,223,50,0
220,2026-09-19T19:48:47Z,10,10,10,223,50,0
225,2026-09-19T19:48:52Z,10,10,10,223,50,0
230,2026-09-19T19:48:57Z,10,10,10,223,50,0
236,2026-09-19T19:49:03Z,10,10,10,223,50,0
241,2026-09-19T19:49:08Z,10,10,10,97,50,0
246,2026-09-19T19:49:13Z,10,10,10,97,50,0
251,2026-09-19T19:49:18Z,10,10,10,97,50,0
256,2026-09-19T19:49:23Z,10,10,10,97,50,0
262,2026-09-19T19:49:29Z,10,10,10,97,50,0
267,2026-09-19T19:49:34Z,10,10,10,97,50,0
272,2026-09-19T19:49:39Z,10,10,10,97,50,0
277,2026-09-19T19:49:44Z,10,10,10,97,50,0
283,2026-09-19T19:49:50Z,10,10,10,97,50,0
288,2026-09-19T19:49:55Z,10,10,10,97,50,0
293,2026-09-19T19:50:00Z,10,10,10,97,50,0
298,2026-09-19T19:50:05Z,10,10,10,97,50,0
304,2026-09-19T19:50:11Z,10,10,10,97,50,0
309,2026-09-19T19:50:16Z,10,10,10,97,50,0
314,2026-09-19T19:50:21Z,10,10,10,97,50,0
319,2026-09-19T19:50:26Z,10,10,10,97,50,0
324,2026-09-19T19:50:31Z,10,10,10,97,50,0
330,2026-09-19T19:50:37Z,10,10,10,97,50,0
335,2026-09-19T19:50:42Z,10,10,10,97,50,0
340,2026-09-19T19:50:47Z,10,10,10,97,50,0
345,2026-09-19T19:50:52Z,10,10,10,97,50,0
351,2026-09-19T19:50:58Z,10,10,10,97,50,0
356,2026-09-19T19:51:03Z,10,10,10,97,50,0
361,2026-09-19T19:51:08Z,10,10,10,1,50,0
366,2026-09-19T19:51:13Z,10,10,10,1,50,0
372,2026-09-19T19:51:19Z,10,10,10,1,50,0
377,2026-09-19T19:51:24Z,10,10,10,1,50,0
382,2026-09-19T19:51:29Z,10,10,10,1,50,0
387,2026-09-19T19:51:34Z,10,10,10,1,50,0
392,2026-09-19T19:51:39Z,10,10,10,1,50,0
398,2026-09-19T19:51:45Z,10,10,10,1,50,0
403,2026-09-19T19:51:50Z,10,10,10,1,50,0
