t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T21:20:10Z,1,1,1,1,50,0
6,2026-09-19T21:20:16Z,1,1,1,1,50,0
11,2026-09-19T21:20:21Z,1,1,1,1,50,0
16,2026-09-19T21:20:26Z,1,1,1,1,50,0
21,2026-09-19T21:20:31Z,1,1,1,1,50,0
26,2026-09-19T21:20:36Z,1,1,1,1,50,0
32,2026-09-19T21:20:42Z,1,1,1,1,50,0
37,2026-09-19T21:20:47Z,1,1,1,1,50,0
42,2026-09-19T21:20:52Z,1,1,1,1,50,0
47,2026-09-19T21:20:57Z,1,1,1,1,50,0
53,2026-09-19T21:21:03Z,1,1,1,1,50,0
58,2026-09-19T21:21:08Z,1,1,1,1,50,0
63,2026-09-19T21:21:13Z,1,1,1,1,50,0
68,2026-09-19T21:21:18Z,1,1,1,1,50,0
74,2026-09-19T21:21:24Z,1,1,1,1,50,0
79,2026-09-19T21:21:29Z,1,1,1,1,50,0
84,2026-09-19T21:21:34Z,1,1,1,1,50,0
89,2026-09-19T21:21:39Z,1,1,1,1,50,0
94,2026-09-19T21:21:44Z,1,1,1,1,50,0
100,2026-09-19T21:21:50Z,1,1,1,1,50,0
105,2026-09-19T21:21:55Z,1,1,1,1,50,0
110,2026-09-19T21:22:00Z,1,1,1,1,50,0
115,2026-09-19T21:22:05Z,1,1,1,1,50,0
121,2026-09-19T21:22:11Z,5,1,5,472,50,0
126,2026-09-19T21:22:16Z,5,1,4,472,50,0
131,2026-09-19T21:22:21Z,5,1,5,472,50,0
136,2026-09-19T21:22:26Z,10,5,10,472,50,0
142,2026-09-19T21:22:32Z,10,5,10,472,50,0
147,2026-09-19T21:22:37Z,10,5,10,472,50,0
152,2026-09-19T21:22:42Z,10,10,10,472,50,0
157,2026-09-19T21:22:47Z,10,10,10,472,50,0
163,2026-09-19T21:22:53Z,10,10,10,472,50,0
168,2026-09-19T21:22:58Z,10,10,10,472,50,0
173,2026-09-19T21:23:03Z,10,10,10,472,50,0
179,2026-09-19T21:23:09Z,10,10,10,341,50,0
184,2026-09-19T21:23:14Z,10,10,10,341,50,0
189,2026-09-19T21:23:19Z,10,10,10,341,50,0
194,2026-09-19T21:23:24Z,10,10,10,341,50,0
200,2026-09-19T21:23:30Z,10,10,10,341,50,0
205,2026-09-19T21:23:35Z,10,10,10,341,50,0
