t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T20:34:09Z,1,1,1,1,50,0
5,2026-09-19T20:34:14Z,1,1,1,1,50,0
11,2026-09-19T20:34:20Z,1,1,1,1,50,0
16,2026-09-19T20:34:25Z,1,1,1,1,50,0
21,2026-09-19T20:34:30Z,1,1,1,1,50,0
26,2026-09-19T20:34:35Z,1,1,1,1,50,0
32,2026-09-19T20:34:41Z,1,1,1,1,50,0
37,2026-09-19T20:34:46Z,1,1,1,1,50,0
42,2026-09-19T20:34:51Z,1,1,1,1,50,0
47,2026-09-19T20:34:56Z,1,1,1,1,50,0
53,2026-09-19T20:35:02Z,1,1,1,1,50,0
58,2026-09-19T20:35:07Z,1,1,1,1,50,0
63,2026-09-19T20:35:12Z,1,1,1,1,50,0
68,2026-09-19T20:35:17Z,1,1,1,1,50,0
73,2026-09-19T20:35:22Z,1,1,1,1,50,0
79,2026-09-19T20:35:28Z,1,1,1,1,50,0
84,2026-09-19T20:35:33Z,1,1,1,1,50,0
89,2026-09-19T20:35:38Z,1,1,1,1,50,0
94,2026-09-19T20:35:43Z,1,1,1,1,50,0
100,2026-09-19T20:35:49Z,1,1,1,1,50,0
105,2026-09-19T20:35:54Z,1,1,0,1,50,0
110,2026-09-19T20:35:59Z,1,1,1,1,50,0
115,2026-09-19T20:36:04Z,1,1,1,1,50,0
121,2026-09-19T20:36:10Z,5,1,5,482,50,0
126,2026-09-19T20:36:15Z,5,1,5,482,50,0
131,2026-09-19T20:36:20Z,5,1,5,482,50,0
136,2026-09-19T20:36:25Z,10,5,10,482,50,0
142,2026-09-19T20:36:31Z,10,5,10,482,50,0
147,2026-09-19T20:36:36Z,10,10,10,482,50,0
152,2026-09-19T20:36:41Z,10,10,10,482,50,0
158,2026-09-19T20:36:47Z,10,10,10,482,50,0
163,2026-09-19T20:36:52Z,10,10,10,482,50,0
168,2026-09-19T20:36:57Z,10,10,10,482,50,0
174,2026-09-19T20:37:03Z,10,10,10,482,50,0
179,2026-09-19T20:37:08Z,10,10,10,418,50,0
184,2026-09-19T20:37:13Z,10,10,10,418,50,0
190,2026-09-19T20:37:19Z,10,10,10,418,50,0
195,2026-09-19T20:37:24Z,10,10,10,418,50,0
200,2026-09-19T20:37:29Z,10,10,10,418,50,0
206,2026-09-19T20:37:35Z,10,10,10,418,50,0
211,2026-09-19T20:37:40Z,10,10,10,418,50,0
216,2026-09-19T20:37:45Z,10,10,10,418,50,0
222,2026-09-19T20:37:51Z,10,10,10,418,50,0
227,2026-09-19T20:37:56Z,10,10,10,418,50,0
232,2026-09-19T20:38:01Z,10,10,10,418,50,0
238,2026-09-19T20:38:07Z,10,10,10,296,50,0
243,2026-09-19T20:38:12Z,10,10,10,296,50,0
249,2026-09-19T20:38:18Z,10,10,10,296,50,0
254,2026-09-19T20:38:23Z,10,10,10,296,50,0
259,2026-09-19T20:38:28Z,10,10,10,296,50,0
265,2026-09-19T20:38:34Z,10,10,10,296,50,0
270,2026-09-19T20:38:39Z,10,10,10,296,50,0
275,2026-09-19T20:38:44Z,10,10,10,296,50,0
281,2026-09-19T20:38:50Z,10,10,10,296,50,0
286,2026-09-19T20:38:55Z,10,10,10,296,50,0
291,2026-09-19T20:39:00Z,10,10,10,296,50,0
297,2026-09-19T20:39:06Z,10,10,10,296,50,0
302,2026-09-19T20:39:11Z,10,10,10,294,50,0
307,2026-09-19T20:39:16Z,10,10,10,294,50,0
312,2026-09-19T20:39:21Z,10,10,10,294,50,0
317,2026-09-19T20:39:26Z,10,10,10,294,50,0
323,2026-09-19T20:39:32Z,10,10,10,294,50,0
328,2026-09-19T20:39:37Z,10,10,10,294,50,0
333,2026-09-19T20:39:42Z,10,10,10,294,50,0
338,2026-09-19T20:39:47Z,10,10,10,294,50,0
344,2026-09-19T20:39:53Z,10,10,10,294,50,0
349,2026-09-19T20:39:58Z,10,10,10,294,50,0
354,2026-09-19T20:40:03Z,10,10,10,294,50,0
359,2026-09-19T20:40:08Z,10,10,10,12,50,0
364,2026-09-19T20:40:13Z,10,10,10,12,50,0
370,2026-09-19T20:40:19Z,10,10,10,12,50,0
375,2026-09-19T20:40:24Z,10,10,10,12,50,0
380,2026-09-19T20:40:29Z,10,10,10,12,50,0
385,2026-09-19T20:40:34Z,10,10,10,12,50,0
391,2026-09-19T20:40:40Z,10,10,10,12,50,0
396,2026-09-19T20:40:45Z,10,10,10,12,50,0
401,2026-09-19T20:40:50Z,10,10,10,12,50,0
