t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T19:38:07Z,1,1,1,1,70,0
5,2026-09-19T19:38:12Z,1,1,1,1,70,0
11,2026-09-19T19:38:18Z,1,1,1,1,70,0
16,2026-09-19T19:38:23Z,1,1,1,1,70,0
21,2026-09-19T19:38:28Z,1,1,1,1,70,0
26,2026-09-19T19:38:33Z,1,1,1,1,70,0
32,2026-09-19T19:38:39Z,1,1,1,1,70,0
37,2026-09-19T19:38:44Z,1,1,1,1,70,0
42,2026-09-19T19:38:49Z,1,1,1,1,70,0
47,2026-09-19T19:38:54Z,1,1,1,1,70,0
53,2026-09-19T19:39:00Z,1,1,1,1,70,0
58,2026-09-19T19:39:05Z,1,1,1,1,70,0
63,2026-09-19T19:39:10Z,1,1,1,1,70,0
68,2026-09-19T19:39:15Z,1,1,1,1,70,0
74,2026-09-19T19:39:21Z,1,1,1,1,70,0
79,2026-09-19T19:39:26Z,1,1,1,1,70,0
84,2026-09-19T19:39:31Z,1,1,1,1,70,0
89,2026-09-19T19:39:36Z,1,1,1,1,70,0
94,2026-09-19T19:39:41Z,1,1,1,1,70,0
100,2026-09-19T19:39:47Z,1,1,1,1,70,0
105,2026-09-19T19:39:52Z,1,1,1,1,70,0
110,2026-09-19T19:39:57Z,1,1,1,1,70,0
115,2026-09-19T19:40:02Z,1,1,1,1,70,0
121,2026-09-19T19:40:08Z,5,1,1,499,70,0
126,2026-09-19T19:40:13Z,5,1,5,499,70,0
131,2026-09-19T19:40:18Z,5,1,5,499,70,0
136,2026-09-19T19:40:23Z,8,5,8,499,70,0
142,2026-09-19T19:40:29Z,8,5,8,499,70,0
147,2026-09-19T19:40:34Z,8,8,8,499,70,0
152,2026-09-19T19:40:39Z,8,8,8,499,70,0
157,2026-09-19T19:40:44Z,8,8,8,499,70,0
163,2026-09-19T19:40:50Z,8,8,8,499,70,0
168,2026-09-19T19:40:55Z,8,8,8,499,70,0
173,2026-09-19T19:41:00Z,8,8,8,499,70,0
178,2026-09-19T19:41:05Z,8,8,8,347,70,0
184,2026-09-19T19:41:11Z,8,8,8,347,70,0
189,2026-09-19T19:41:16Z,8,8,8,347,70,0
194,2026-09-19T19:41:21Z,8,8,8,347,70,0
200,2026-09-19T19:41:27Z,8,8,8,347,70,0
205,2026-09-19T19:41:32Z,8,8,8,347,70,0
210,2026-09-19T19:41:37Z,8,8,8,347,70,0
215,2026-09-19T19:41:42Z,8,8,8,347,70,0
221,2026-09-19T19:41:48Z,8,8,8,347,70,0
226,2026-09-19T19:41:53Z,8,8,8,347,70,0
231,2026-09-19T19:41:58Z,8,8,8,347,70,0
236,2026-09-19T19:42:03Z,10,8,8,211,70,2
242,2026-09-19T19:42:09Z,10,8,10,211,70,0
247,2026-09-19T19:42:14Z,10,8,10,211,70,0
252,2026-09-19T19:42:19Z,10,10,10,211,70,0
258,2026-09-19T19:42:25Z,10,10,10,211,70,0
263,2026-09-19T19:42:30Z,10,10,10,211,70,0
268,2026-09-19T19:42:35Z,10,10,10,211,70,0
273,2026-09-19T19:42:40Z,10,10,10,211,70,0
279,2026-09-19T19:42:46Z,10,10,10,211,70,0
284,2026-09-19T19:42:51Z,10,10,10,211,70,0
289,2026-09-19T19:42:56Z,10,10,10,211,70,0
294,2026-09-19T19:43:01Z,10,10,10,211,70,0
300,2026-09-19T19:43:07Z,10,10,10,184,70,0
305,2026-09-19T19:43:12Z,10,10,10,184,70,0
310,2026-09-19T19:43:17Z,10,10,10,184,70,0
315,2026-09-19T19:43:22Z,10,10,10,184,70,0
321,2026-09-19T19:43:28Z,10,10,10,184,70,0
326,2026-09-19T19:43:33Z,10,10,10,184,70,0
331,2026-09-19T19:43:38Z,10,10,10,184,70,0
336,2026-09-19T19:43:43Z,10,10,10,184,70,0
342,2026-09-19T19:43:49Z,10,10,10,184,70,0
347,2026-09-19T19:43:54Z,10,10,10,184,70,0
352,2026-09-19T19:43:59Z,10,10,10,184,70,0
357,2026-09-19T19:44:04Z,10,10,10,2,70,0
362,2026-09-19T19:44:09Z,10,10,10,2,70,0
368,2026-09-19T19:44:15Z,10,10,10,2,70,0
373,2026-09-19T19:44:20Z,10,10,10,2,70,0
378,2026-09-19T19:44:25Z,10,10,10,2,70,0
383,2026-09-19T19:44:30Z,10,10,10,2,70,0
389,2026-09-19T19:44:36Z,10,10,10,2,70,0
394,2026-09-19T19:44:41Z,10,10,10,2,70,0
399,2026-09-19T19:44:46Z,10,10,10,2,70,0
404,2026-09-19T19:44:51Z,10,10,10,2,70,0
