t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T21:03:09Z,1,1,1,1,50,0
5,2026-09-19T21:03:14Z,1,1,1,1,50,0
11,2026-09-19T21:03:20Z,1,1,1,1,50,0
16,2026-09-19T21:03:25Z,1,1,1,1,50,0
21,2026-09-19T21:03:30Z,1,1,1,1,50,0
26,2026-09-19T21:03:35Z,1,1,1,1,50,0
32,2026-09-19T21:03:41Z,1,1,1,1,50,0
37,2026-09-19T21:03:46Z,1,1,1,1,50,0
42,2026-09-19T21:03:51Z,1,1,1,1,50,0
47,2026-09-19T21:03:56Z,1,1,1,1,50,0
52,2026-09-19T21:04:01Z,1,1,1,1,50,0
58,2026-09-19T21:04:07Z,1,1,1,1,50,0
63,2026-09-19T21:04:12Z,1,1,1,1,50,0
68,2026-09-19T21:04:17Z,1,1,1,1,50,0
73,2026-09-19T21:04:22Z,1,1,1,1,50,0
79,2026-09-19T21:04:28Z,1,1,1,1,50,0
84,2026-09-19T21:04:33Z,1,1,1,1,50,0
89,2026-09-19T21:04:38Z,1,1,1,1,50,0
94,2026-09-19T21:04:43Z,1,1,1,1,50,0
100,2026-09-19T21:04:49Z,1,1,1,1,50,0
105,2026-09-19T21:04:54Z,1,1,1,1,50,0
110,2026-09-19T21:04:59Z,1,1,1,1,50,0
115,2026-09-19T21:05:04Z,1,1,1,1,50,0
121,2026-09-19T21:05:10Z,5,1,5,482,50,0
126,2026-09-19T21:05:15Z,5,1,5,482,50,0
131,2026-09-19T21:05:20Z,5,1,5,482,50,0
136,2026-09-19T21:05:25Z,10,5,10,482,50,0
142,2026-09-19T21:05:31Z,10,5,10,482,50,0
147,2026-09-19T21:05:36Z,10,5,10,482,50,0
152,2026-09-19T21:05:41Z,10,10,10,482,50,0
157,2026-09-19T21:05:46Z,10,10,10,482,50,0
163,2026-09-19T21:05:52Z,10,10,10,482,50,0
168,2026-09-19T21:05:57Z,10,10,10,482,50,0
173,2026-09-19T21:06:02Z,10,10,10,482,50,0
178,2026-09-19T21:06:07Z,10,10,10,331,50,0
184,2026-09-19T21:06:13Z,10,10,10,331,50,0
189,2026-09-19T21:06:18Z,10,10,10,331,50,0
194,2026-09-19T21:06:23Z,10,10,10,331,50,0
199,2026-09-19T21:06:28Z,10,10,10,331,50,0
205,2026-09-19T21:06:34Z,10,10,10,331,50,0
210,2026-09-19T21:06:39Z,10,10,10,331,50,0
215,2026-09-19T21:06:44Z,10,10,10,331,50,0
221,2026-09-19T21:06:50Z,10,10,10,331,50,0
226,2026-09-19T21:06:55Z,10,10,10,331,50,0
231,2026-09-19T21:07:00Z,10,10,10,331,50,0
236,2026-09-19T21:07:05Z,10,10,10,331,50,0
242,2026-09-19T21:07:11Z,10,10,10,175,50,0
247,2026-09-19T21:07:16Z,10,10,10,175,50,0
252,2026-09-19T21:07:21Z,10,10,10,175,50,0
257,2026-09-19T21:07:26Z,10,10,10,175,50,0
263,2026-09-19T21:07:32Z,10,10,10,175,50,0
268,2026-09-19T21:07:37Z,10,10,10,175,50,0
273,2026-09-19T21:07:42Z,10,10,10,175,50,0
278,2026-09-19T21:07:47Z,10,10,10,175,50,0
283,2026-09-19T21:07:52Z,10,10,10,175,50,0
289,2026-09-19T21:07:58Z,10,10,10,175,50,0
294,2026-09-19T21:08:03Z,10,10,10,175,50,0
299,2026-09-19T21:08:08Z,10,10,10,7,50,0
304,2026-09-19T21:08:13Z,10,10,10,7,50,0
310,2026-09-19T21:08:19Z,10,10,10,7,50,0
315,2026-09-19T21:08:24Z,10,10,10,7,50,0
320,2026-09-19T21:08:29Z,10,10,10,7,50,0
325,2026-09-19T21:08:34Z,10,10,10,7,50,0
331,2026-09-19T21:08:40Z,10,10,10,7,50,0
336,2026-09-19T21:08:45Z,10,10,10,7,50,0
341,2026-09-19T21:08:50Z,10,10,10,7,50,0
346,2026-09-19T21:08:55Z,5,10,5,7,50,0
351,2026-09-19T21:09:00Z,5,10,5,7,50,0
357,2026-09-19T21:09:06Z,5,10,5,7,50,0
362,2026-09-19T21:09:11Z,5,5,5,1,50,0
367,2026-09-19T21:09:16Z,5,5,5,1,50,0
372,2026-09-19T21:09:21Z,5,5,5,1,50,0
378,2026-09-19T21:09:27Z,5,5,5,1,50,0
383,2026-09-19T21:09:32Z,5,5,5,1,50,0
388,2026-09-19T21:09:37Z,5,5,5,1,50,0
393,2026-09-19T21:09:42Z,5,5,5,1,50,0
398,2026-09-19T21:09:47Z,5,5,5,1,50,0
404,2026-09-19T21:09:53Z,2,5,2,1,50,0
409,2026-09-19T21:09:58Z,2,5,2,1,50,0
414,2026-09-19T21:10:03Z,2,5,2,1,50,0
419,2026-09-19T21:10:08Z,2,2,2,1,50,0
425,2026-09-19T21:10:14Z,2,2,2,1,50,0
430,2026-09-19T21:10:19Z,2,2,2,1,50,0
