t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T18:56:02Z,1,1,1,1,30,0
5,2026-09-19T18:56:07Z,1,1,1,1,30,0
10,2026-09-19T18:56:12Z,1,1,1,1,30,0
16,2026-09-19T18:56:18Z,1,1,1,1,30,0
21,2026-09-19T18:56:23Z,1,1,1,1,30,0
26,2026-09-19T18:56:28Z,1,1,1,1,30,0
31,2026-09-19T18:56:33Z,1,1,1,1,30,0
37,2026-09-19T18:56:39Z,1,1,1,1,30,0
42,2026-09-19T18:56:44Z,1,1,1,1,30,0
47,2026-09-19T18:56:49Z,1,1,1,1,30,0
52,2026-09-19T18:56:54Z,1,1,1,1,30,0
57,2026-09-19T18:56:59Z,1,1,1,1,30,0
63,2026-09-19T18:57:05Z,2,1,2,44,30,0
68,2026-09-19T18:57:10Z,2,1,2,44,30,0
73,2026-09-19T18:57:15Z,2,1,2,44,30,0
78,2026-09-19T18:57:20Z,2,2,2,44,30,0
84,2026-09-19T18:57:26Z,2,2,2,44,30,0
89,2026-09-19T18:57:31Z,2,2,2,44,30,0
94,2026-09-19T18:57:36Z,2,2,2,44,30,0
99,2026-09-19T18:57:41Z,2,2,2,44,30,0
105,2026-09-19T18:57:47Z,2,2,2,44,30,0
110,2026-09-19T18:57:52Z,2,2,2,44,30,0
115,2026-09-19T18:57:57Z,2,2,2,44,30,0
120,2026-09-19T18:58:02Z,6,2,2,494,30,4
126,2026-09-19T18:58:08Z,6,2,6,494,30,0
131,2026-09-19T18:58:13Z,6,2,6,494,30,0
136,2026-09-19T18:58:18Z,10,6,6,494,30,0
141,2026-09-19T18:58:23Z,10,6,10,494,30,0
147,2026-09-19T18:58:29Z,10,6,10,494,30,0
152,2026-09-19T18:58:34Z,10,10,10,494,30,0
157,2026-09-19T18:58:39Z,10,10,10,494,30,0
162,2026-09-19T18:58:44Z,10,10,10,494,30,0
168,2026-09-19T18:58:50Z,10,10,10,494,30,0
173,2026-09-19T18:58:55Z,10,10,10,494,30,0
178,2026-09-19T18:59:00Z,10,10,10,494,30,0
183,2026-09-19T18:59:05Z,10,10,10,259,30,0
189,2026-09-19T18:59:11Z,10,10,10,259,30,0
194,2026-09-19T18:59:16Z,10,10,10,259,30,0
199,2026-09-19T18:59:21Z,10,10,10,259,30,0
205,2026-09-19T18:59:27Z,10,10,10,259,30,0
210,2026-09-19T18:59:32Z,10,10,10,259,30,0
215,2026-09-19T18:59:37Z,10,10,10,259,30,0
220,2026-09-19T18:59:42Z,10,10,10,259,30,0
226,2026-09-19T18:59:48Z,10,10,10,259,30,0
231,2026-09-19T18:59:53Z,10,10,10,259,30,0
236,2026-09-19T18:59:58Z,10,10,10,259,30,0
242,2026-09-19T19:00:04Z,10,10,10,178,30,0
247,2026-09-19T19:00:09Z,10,10,10,178,30,0
252,2026-09-19T19:00:14Z,10,10,10,178,30,0
257,2026-09-19T19:00:19Z,10,10,10,178,30,0
263,2026-09-19T19:00:25Z,10,10,10,178,30,0
268,2026-09-19T19:00:30Z,10,10,10,178,30,0
273,2026-09-19T19:00:35Z,10,10,10,178,30,0
278,2026-09-19T19:00:40Z,10,10,10,178,30,0
284,2026-09-19T19:00:46Z,10,10,10,178,30,0
289,2026-09-19T19:00:51Z,10,10,10,178,30,0
294,2026-09-19T19:00:56Z,10,10,10,178,30,0
300,2026-09-19T19:01:02Z,10,10,10,178,30,0
305,2026-09-19T19:01:07Z,10,10,10,162,30,0
310,2026-09-19T19:01:12Z,10,10,10,162,30,0
315,2026-09-19T19:01:17Z,10,10,10,162,30,0
320,2026-09-19T19:01:22Z,10,10,10,162,30,0
326,2026-09-19T19:01:28Z,10,10,10,162,30,0
331,2026-09-19T19:01:33Z,10,10,10,162,30,0
336,2026-09-19T19:01:38Z,10,10,10,162,30,0
341,2026-09-19T19:01:43Z,10,10,10,162,30,0
347,2026-09-19T19:01:49Z,10,10,10,162,30,0
352,2026-09-19T19:01:54Z,10,10,10,162,30,0
357,2026-09-19T19:01:59Z,10,10,10,162,30,0
362,2026-09-19T19:02:04Z,10,10,10,1,30,0
368,2026-09-19T19:02:10Z,10,10,10,1,30,0
373,2026-09-19T19:02:15Z,10,10,10,1,30,0
378,2026-09-19T19:02:20Z,10,10,10,1,30,0
383,2026-09-19T19:02:25Z,10,10,10,1,30,0
388,2026-09-19T19:02:30Z,10,10,10,1,30,0
394,2026-09-19T19:02:36Z,10,10,10,1,30,0
399,2026-09-19T19:02:41Z,10,10,10,1,30,0
404,2026-09-19T19:02:46Z,10,10,10,1,30,0
