t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T22:02:14Z,1,1,1,1,50,0
5,2026-09-19T22:02:19Z,1,1,1,1,50,0
10,2026-09-19T22:02:24Z,1,1,1,1,50,0
15,2026-09-19T22:02:29Z,1,1,1,1,50,0
21,2026-09-19T22:02:35Z,1,1,1,1,50,0
26,2026-09-19T22:02:40Z,1,1,1,1,50,0
31,2026-09-19T22:02:45Z,1,1,1,1,50,0
36,2026-09-19T22:02:50Z,1,1,1,1,50,0
41,2026-09-19T22:02:55Z,1,1,1,1,50,0
47,2026-09-19T22:03:01Z,1,1,1,1,50,0
52,2026-09-19T22:03:06Z,1,1,1,1,50,0
57,2026-09-19T22:03:11Z,1,1,1,1,50,0
62,2026-09-19T22:03:16Z,1,1,1,1,50,0
68,2026-09-19T22:03:22Z,1,1,1,1,50,0
73,2026-09-19T22:03:27Z,1,1,1,1,50,0
78,2026-09-19T22:03:32Z,1,1,1,1,50,0
83,2026-09-19T22:03:37Z,1,1,1,1,50,0
89,2026-09-19T22:03:43Z,1,1,1,1,50,0
94,2026-09-19T22:03:48Z,1,1,0,1,50,0
99,2026-09-19T22:03:53Z,1,1,1,1,50,0
104,2026-09-19T22:03:58Z,5,1,4,445,50,0
110,2026-09-19T22:04:04Z,5,1,5,445,50,0
115,2026-09-19T22:04:09Z,5,1,5,445,50,0
120,2026-09-19T22:04:14Z,9,5,9,445,50,0
125,2026-09-19T22:04:19Z,9,5,9,445,50,0
131,2026-09-19T22:04:25Z,9,5,9,445,50,0
136,2026-09-19T22:04:30Z,9,9,9,445,50,0
141,2026-09-19T22:04:35Z,9,9,9,445,50,0
146,2026-09-19T22:04:40Z,9,9,9,445,50,0
152,2026-09-19T22:04:46Z,9,9,9,445,50,0
157,2026-09-19T22:04:51Z,9,9,9,445,50,0
162,2026-09-19T22:04:56Z,9,9,9,263,50,0
167,2026-09-19T22:05:01Z,9,9,9,263,50,0
173,2026-09-19T22:05:07Z,9,9,9,263,50,0
178,2026-09-19T22:05:12Z,9,9,9,263,50,0
183,2026-09-19T22:05:17Z,9,9,9,263,50,0
188,2026-09-19T22:05:22Z,9,9,9,263,50,0
194,2026-09-19T22:05:28Z,9,9,9,263,50,0
199,2026-09-19T22:05:33Z,9,9,9,263,50,0
204,2026-09-19T22:05:38Z,9,9,9,263,50,0
209,2026-09-19T22:05:43Z,9,9,9,263,50,0
215,2026-09-19T22:05:49Z,9,9,9,263,50,0
220,2026-09-19T22:05:54Z,9,9,9,263,50,0
225,2026-09-19T22:05:59Z,10,9,10,194,50,0
231,2026-09-19T22:06:05Z,10,9,10,194,50,0
236,2026-09-19T22:06:10Z,10,10,10,194,50,0
241,2026-09-19T22:06:15Z,10,10,10,194,50,0
246,2026-09-19T22:06:20Z,10,10,10,194,50,0
252,2026-09-19T22:06:26Z,10,10,10,194,50,0
257,2026-09-19T22:06:31Z,10,10,10,194,50,0
262,2026-09-19T22:06:36Z,10,10,10,194,50,0
267,2026-09-19T22:06:41Z,10,10,10,194,50,0
272,2026-09-19T22:06:46Z,10,10,10,194,50,0
278,2026-09-19T22:06:52Z,10,10,10,194,50,0
283,2026-09-19T22:06:57Z,10,10,10,23,50,0
288,2026-09-19T22:07:02Z,10,10,10,23,50,0
293,2026-09-19T22:07:07Z,10,10,10,23,50,0
299,2026-09-19T22:07:13Z,10,10,10,23,50,0
304,2026-09-19T22:07:18Z,10,10,10,23,50,0
309,2026-09-19T22:07:23Z,10,10,10,23,50,0
314,2026-09-19T22:07:28Z,10,10,10,23,50,0
320,2026-09-19T22:07:34Z,10,10,10,23,50,0
325,2026-09-19T22:07:39Z,10,10,10,23,50,0
330,2026-09-19T22:07:44Z,10,10,10,23,50,0
335,2026-09-19T22:07:49Z,10,10,10,23,50,0
340,2026-09-19T22:07:54Z,10,10,10,23,50,0
346,2026-09-19T22:08:00Z,10,10,10,1,50,0
351,2026-09-19T22:08:05Z,10,10,10,1,50,0
356,2026-09-19T22:08:10Z,10,10,10,1,50,0
361,2026-09-19T22:08:15Z,10,10,10,1,50,0
367,2026-09-19T22:08:21Z,10,10,10,1,50,0
372,2026-09-19T22:08:26Z,10,10,10,1,50,0
377,2026-09-19T22:08:31Z,10,10,10,1,50,0
382,2026-09-19T22:08:36Z,10,10,10,1,50,0
387,2026-09-19T22:08:41Z,10,10,10,1,50,0
393,2026-09-19T22:08:47Z,10,10,10,1,50,0
398,2026-09-19T22:08:52Z,10,10,10,1,50,0
403,2026-09-19T22:08:57Z,10,10,10,1,50,0
408,2026-09-19T22:09:02Z,10,10,10,1,50,0
414,2026-09-19T22:09:08Z,10,10,10,1,50,0
419,2026-09-19T22:09:13Z,10,10,10,1,50,0
