t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T12:51:19Z,1,1,1,1,1,1,50,0
5,2026-09-20T12:51:24Z,1,1,1,1,1,1,50,0
11,2026-09-20T12:51:30Z,1,1,1,1,1,1,50,0
16,2026-09-20T12:51:35Z,1,1,1,1,1,1,50,0
21,2026-09-20T12:51:40Z,1,1,1,1,1,1,50,0
26,2026-09-20T12:51:45Z,1,1,1,1,1,1,50,0
32,2026-09-20T12:51:51Z,1,1,1,1,1,1,50,0
37,2026-09-20T12:51:56Z,1,1,1,1,1,1,50,0
42,2026-09-20T12:52:01Z,1,1,1,1,1,1,50,0
47,2026-09-20T12:52:06Z,1,1,1,1,1,1,50,0
53,2026-09-20T12:52:12Z,1,1,1,1,1,1,50,0
58,2026-09-20T12:52:17Z,1,1,1,1,1,1,50,0
63,2026-09-20T12:52:22Z,1,1,1,1,1,1,50,0
68,2026-09-20T12:52:27Z,1,1,1,1,1,1,50,0
74,2026-09-20T12:52:33Z,1,1,1,1,1,1,50,0
79,2026-09-20T12:52:38Z,1,1,1,1,1,1,50,0
84,2026-09-20T12:52:43Z,1,1,1,1,1,1,50,0
90,2026-09-20T12:52:49Z,1,1,1,1,1,1,50,0
95,2026-09-20T12:52:54Z,1,1,1,1,1,1,50,0
100,2026-09-20T12:52:59Z,1,1,1,1,1,1,50,0
105,2026-09-20T12:53:04Z,1,1,1,1,1,1,50,0
111,2026-09-20T12:53:10Z,1,1,1,1,1,1,50,0
116,2026-09-20T12:53:15Z,5,1,5,5,1,244,50,4
121,2026-09-20T12:53:20Z,5,1,5,5,5,244,50,0
126,2026-09-20T12:53:25Z,5,1,5,5,5,244,50,0
132,2026-09-20T12:53:31Z,5,5,5,5,5,244,50,0
137,2026-09-20T12:53:36Z,5,5,5,5,5,244,50,0
142,2026-09-20T12:53:41Z,5,5,5,5,5,244,50,0
148,2026-09-20T12:53:47Z,5,5,5,5,5,244,50,0
153,2026-09-20T12:53:52Z,5,5,5,5,5,244,50,0
158,2026-09-20T12:53:57Z,5,5,5,5,5,244,50,0
163,2026-09-20T12:54:02Z,5,5,5,5,5,244,50,0
169,2026-09-20T12:54:08Z,5,5,5,5,5,244,50,0
174,2026-09-20T12:54:13Z,5,5,5,5,5,244,50,0
179,2026-09-20T12:54:18Z,8,5,8,8,8,355,50,0
184,2026-09-20T12:54:23Z,8,5,8,8,8,355,50,0
190,2026-09-20T12:54:29Z,8,5,8,8,8,355,50,0
195,2026-09-20T12:54:34Z,8,8,8,8,8,355,50,0
200,2026-09-20T12:54:39Z,8,8,8,8,8,355,50,0
205,2026-09-20T12:54:45Z,8,8,8,8,8,355,50,0
211,2026-09-20T12:54:50Z,8,8,8,8,8,355,50,0
