t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:01:31Z,3,1,3,12,1,124,50,0
5,2026-09-20T13:01:36Z,3,1,3,12,3,124,50,0
11,2026-09-20T13:01:42Z,3,1,3,12,3,124,50,0
16,2026-09-20T13:01:47Z,3,3,3,3,3,124,50,0
21,2026-09-20T13:01:52Z,3,3,3,3,3,124,50,0
26,2026-09-20T13:01:57Z,3,3,3,3,3,124,50,0
32,2026-09-20T13:02:03Z,3,3,3,3,3,124,50,0
37,2026-09-20T13:02:08Z,3,3,3,3,3,124,50,0
42,2026-09-20T13:02:13Z,3,3,3,3,3,124,50,0
48,2026-09-20T13:02:19Z,3,3,3,3,3,3,50,0
53,2026-09-20T13:02:24Z,3,3,3,3,3,3,50,0
58,2026-09-20T13:02:29Z,3,3,3,3,3,3,50,0
63,2026-09-20T13:02:34Z,3,3,3,3,3,3,50,0
69,2026-09-20T13:02:40Z,3,3,3,3,3,3,50,0
74,2026-09-20T13:02:45Z,3,3,3,3,3,3,50,0
79,2026-09-20T13:02:50Z,3,3,3,3,3,3,50,0
84,2026-09-20T13:02:55Z,3,3,3,3,3,3,50,0
90,2026-09-20T13:03:01Z,3,3,3,3,3,3,50,0
95,2026-09-20T13:03:06Z,3,3,3,3,3,3,50,0
100,2026-09-20T13:03:11Z,3,3,3,3,3,3,50,0
106,2026-09-20T13:03:17Z,7,3,7,7,3,420,50,4
111,2026-09-20T13:03:22Z,7,3,7,7,7,420,50,0
116,2026-09-20T13:03:27Z,7,3,7,7,7,420,50,0
121,2026-09-20T13:03:32Z,10,7,10,10,7,420,50,0
127,2026-09-20T13:03:38Z,10,7,10,10,10,420,50,0
132,2026-09-20T13:03:43Z,10,7,10,10,10,420,50,0
137,2026-09-20T13:03:48Z,10,10,10,10,10,420,50,0
143,2026-09-20T13:03:54Z,10,10,10,10,10,420,50,0
148,2026-09-20T13:03:59Z,10,10,10,10,10,420,50,0
153,2026-09-20T13:04:04Z,10,10,10,10,10,420,50,0
158,2026-09-20T13:04:09Z,10,10,10,10,10,420,50,0
164,2026-09-20T13:04:15Z,10,10,10,10,10,420,50,0
169,2026-09-20T13:04:20Z,10,10,10,10,10,153,50,0
