t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:19:01Z,5,1,5,14,1,275,50,4
6,2026-09-20T13:19:07Z,5,1,5,14,5,275,50,0
11,2026-09-20T13:19:12Z,5,1,5,7,5,275,50,0
16,2026-09-20T13:19:17Z,5,5,5,5,5,7,50,0
22,2026-09-20T13:19:23Z,5,5,5,5,5,7,50,0
27,2026-09-20T13:19:28Z,5,5,5,5,5,7,50,0
32,2026-09-20T13:19:33Z,5,5,5,5,5,7,50,0
37,2026-09-20T13:19:38Z,5,5,5,5,5,7,50,0
43,2026-09-20T13:19:44Z,5,5,5,5,5,7,50,0
48,2026-09-20T13:19:49Z,5,5,5,5,5,7,50,0
53,2026-09-20T13:19:54Z,5,5,5,5,5,7,50,0
58,2026-09-20T13:19:59Z,5,5,5,5,5,7,50,0
64,2026-09-20T13:20:05Z,5,5,5,5,5,7,50,0
69,2026-09-20T13:20:10Z,5,5,5,5,5,7,50,0
74,2026-09-20T13:20:15Z,5,5,5,5,5,7,50,0
79,2026-09-20T13:20:20Z,5,5,5,5,5,1,50,0
85,2026-09-20T13:20:26Z,5,5,5,5,5,1,50,0
90,2026-09-20T13:20:31Z,5,5,5,5,5,1,50,0
95,2026-09-20T13:20:36Z,5,5,5,5,5,1,50,0
100,2026-09-20T13:20:41Z,5,5,5,5,5,1,50,0
106,2026-09-20T13:20:47Z,5,5,5,5,5,1,50,0
111,2026-09-20T13:20:52Z,5,5,5,5,5,1,50,0
116,2026-09-20T13:20:57Z,5,5,5,5,5,1,50,0
122,2026-09-20T13:21:03Z,5,5,5,5,5,1,50,0
127,2026-09-20T13:21:08Z,5,5,5,5,5,1,50,0
132,2026-09-20T13:21:13Z,5,5,5,5,5,1,50,0
138,2026-09-20T13:21:19Z,10,5,10,10,5,304,50,0
143,2026-09-20T13:21:24Z,10,5,10,10,10,304,50,0
148,2026-09-20T13:21:29Z,10,5,10,10,10,304,50,0
154,2026-09-20T13:21:35Z,10,10,10,10,10,304,50,0
159,2026-09-20T13:21:40Z,10,10,10,10,10,304,50,0
164,2026-09-20T13:21:45Z,10,10,10,10,10,304,50,0
170,2026-09-20T13:21:51Z,10,10,10,10,10,304,50,0
175,2026-09-20T13:21:56Z,10,10,10,10,10,304,50,0
180,2026-09-20T13:22:01Z,10,10,10,10,10,304,50,0
185,2026-09-20T13:22:06Z,10,10,10,10,10,304,50,0
191,2026-09-20T13:22:12Z,10,10,10,10,10,304,50,0
196,2026-09-20T13:22:17Z,10,10,10,10,10,120,50,0
