t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:04:31Z,4,1,4,13,1,154,50,3
5,2026-09-20T13:04:36Z,4,1,4,13,4,154,50,0
10,2026-09-20T13:04:41Z,4,1,4,11,4,154,50,0
15,2026-09-20T13:04:46Z,4,4,4,4,4,154,50,0
21,2026-09-20T13:04:52Z,4,4,4,4,4,154,50,0
26,2026-09-20T13:04:57Z,4,4,4,4,4,154,50,0
31,2026-09-20T13:05:02Z,4,4,4,4,4,154,50,0
36,2026-09-20T13:05:07Z,4,4,4,4,4,154,50,0
42,2026-09-20T13:05:13Z,4,4,4,4,4,154,50,0
47,2026-09-20T13:05:18Z,4,4,4,4,4,1,50,0
52,2026-09-20T13:05:23Z,4,4,4,4,4,1,50,0
58,2026-09-20T13:05:29Z,4,4,4,4,4,1,50,0
63,2026-09-20T13:05:34Z,4,4,4,4,4,1,50,0
68,2026-09-20T13:05:39Z,4,4,4,4,4,1,50,0
73,2026-09-20T13:05:44Z,4,4,4,4,4,1,50,0
79,2026-09-20T13:05:50Z,4,4,4,4,4,1,50,0
84,2026-09-20T13:05:55Z,4,4,4,4,4,1,50,0
89,2026-09-20T13:06:00Z,4,4,4,4,4,1,50,0
94,2026-09-20T13:06:05Z,4,4,4,4,4,1,50,0
100,2026-09-20T13:06:11Z,4,4,4,4,4,1,50,0
105,2026-09-20T13:06:16Z,8,4,8,8,4,210,50,4
110,2026-09-20T13:06:21Z,8,4,8,8,8,210,50,0
116,2026-09-20T13:06:27Z,8,4,8,8,8,210,50,0
121,2026-09-20T13:06:32Z,10,8,10,10,8,210,50,0
126,2026-09-20T13:06:37Z,10,8,10,10,10,210,50,0
132,2026-09-20T13:06:43Z,10,8,10,10,10,210,50,0
137,2026-09-20T13:06:48Z,10,10,10,10,10,210,50,0
142,2026-09-20T13:06:53Z,10,10,10,10,10,210,50,0
147,2026-09-20T13:06:58Z,10,10,10,10,10,210,50,0
153,2026-09-20T13:07:04Z,10,10,10,10,10,210,50,0
158,2026-09-20T13:07:09Z,10,10,10,10,10,210,50,0
163,2026-09-20T13:07:14Z,10,10,10,10,10,210,50,0
169,2026-09-20T13:07:20Z,10,10,10,10,10,207,50,0
174,2026-09-20T13:07:25Z,10,10,10,10,10,207,50,0
179,2026-09-20T13:07:30Z,10,10,10,10,10,207,50,0
184,2026-09-20T13:07:35Z,10,10,10,10,10,207,50,0
190,2026-09-20T13:07:41Z,10,10,10,10,10,207,50,0
195,2026-09-20T13:07:46Z,10,10,10,10,10,207,50,0
