t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T04:44:56Z,1,1,1,10,1,1,50,0
5,2026-09-20T04:45:01Z,1,1,1,8,1,1,50,0
10,2026-09-20T04:45:06Z,1,1,1,1,1,1,50,0
15,2026-09-20T04:45:11Z,1,1,1,1,1,1,50,0
21,2026-09-20T04:45:17Z,1,1,1,1,1,1,50,0
26,2026-09-20T04:45:22Z,1,1,1,1,1,1,50,0
31,2026-09-20T04:45:27Z,1,1,1,1,1,1,50,0
36,2026-09-20T04:45:32Z,1,1,1,1,1,1,50,0
42,2026-09-20T04:45:38Z,1,1,1,1,1,1,50,0
47,2026-09-20T04:45:43Z,1,1,1,1,1,1,50,0
52,2026-09-20T04:45:48Z,1,1,1,1,1,1,50,0
57,2026-09-20T04:45:53Z,1,1,1,1,1,1,50,0
63,2026-09-20T04:45:59Z,2,1,2,2,1,96,50,0
68,2026-09-20T04:46:04Z,2,1,2,2,2,96,50,0
73,2026-09-20T04:46:09Z,2,1,2,2,2,96,50,0
79,2026-09-20T04:46:15Z,2,2,2,2,2,96,50,0
84,2026-09-20T04:46:20Z,2,2,2,2,2,96,50,0
89,2026-09-20T04:46:25Z,2,2,2,2,2,96,50,0
94,2026-09-20T04:46:30Z,2,2,2,2,2,96,50,0
100,2026-09-20T04:46:36Z,2,2,2,2,2,96,50,0
105,2026-09-20T04:46:41Z,2,2,2,2,2,96,50,0
110,2026-09-20T04:46:46Z,2,2,2,2,2,96,50,0
115,2026-09-20T04:46:51Z,2,2,2,2,2,96,50,0
121,2026-09-20T04:46:57Z,6,2,6,6,2,401,50,0
126,2026-09-20T04:47:02Z,6,2,6,6,6,401,50,0
131,2026-09-20T04:47:07Z,6,2,6,6,6,401,50,0
136,2026-09-20T04:47:12Z,8,6,8,8,6,401,50,0
142,2026-09-20T04:47:18Z,8,6,8,8,8,401,50,0
147,2026-09-20T04:47:23Z,8,6,8,8,8,401,50,0
152,2026-09-20T04:47:28Z,8,8,8,8,8,401,50,0
158,2026-09-20T04:47:34Z,8,8,8,8,8,401,50,0
163,2026-09-20T04:47:39Z,8,8,8,8,8,401,50,0
168,2026-09-20T04:47:44Z,8,8,8,8,8,401,50,0
173,2026-09-20T04:47:49Z,8,8,8,8,8,401,50,0
179,2026-09-20T04:47:55Z,8,8,8,8,8,401,50,0
184,2026-09-20T04:48:00Z,8,8,8,8,8,156,50,0
189,2026-09-20T04:48:05Z,8,8,8,8,8,156,50,0
195,2026-09-20T04:48:11Z,8,8,8,8,8,156,50,0
200,2026-09-20T04:48:16Z,8,8,8,8,8,156,50,0
205,2026-09-20T04:48:21Z,8,8,8,8,8,156,50,0
210,2026-09-20T04:48:26Z,8,8,8,8,8,156,50,0
216,2026-09-20T04:48:32Z,8,8,8,8,8,156,50,0
221,2026-09-20T04:48:37Z,8,8,8,8,8,156,50,0
226,2026-09-20T04:48:42Z,8,8,8,8,8,156,50,0
231,2026-09-20T04:48:47Z,8,8,8,8,8,156,50,0
237,2026-09-20T04:48:53Z,8,8,8,8,8,156,50,0
242,2026-09-20T04:48:58Z,10,8,10,10,8,120,50,0
247,2026-09-20T04:49:03Z,10,8,10,10,10,120,50,0
252,2026-09-20T04:49:08Z,10,8,10,10,10,120,50,0
258,2026-09-20T04:49:14Z,10,10,10,10,10,120,50,0
263,2026-09-20T04:49:19Z,10,10,10,10,10,120,50,0
268,2026-09-20T04:49:24Z,10,10,10,10,10,120,50,0
273,2026-09-20T04:49:29Z,10,10,10,10,10,120,50,0
279,2026-09-20T04:49:35Z,10,10,10,10,10,120,50,0
284,2026-09-20T04:49:40Z,10,10,10,10,10,120,50,0
289,2026-09-20T04:49:45Z,10,10,10,10,10,120,50,0
295,2026-09-20T04:49:51Z,10,10,10,10,10,120,50,0
300,2026-09-20T04:49:56Z,10,10,10,10,10,82,50,0
305,2026-09-20T04:50:01Z,10,10,10,10,10,82,50,0
310,2026-09-20T04:50:06Z,10,10,10,10,10,82,50,0
316,2026-09-20T04:50:12Z,10,10,10,10,10,82,50,0
321,2026-09-20T04:50:17Z,10,10,10,10,10,82,50,0
326,2026-09-20T04:50:22Z,10,10,10,10,10,82,50,0
331,2026-09-20T04:50:27Z,10,10,10,10,10,82,50,0
337,2026-09-20T04:50:33Z,10,10,10,10,10,82,50,0
342,2026-09-20T04:50:38Z,10,10,10,10,10,82,50,0
347,2026-09-20T04:50:43Z,10,10,10,10,10,82,50,0
352,2026-09-20T04:50:48Z,10,10,10,10,10,82,50,0
358,2026-09-20T04:50:54Z,10,10,10,10,10,82,50,0
363,2026-09-20T04:50:59Z,10,10,10,10,10,1,50,0
368,2026-09-20T04:51:04Z,10,10,10,10,10,1,50,0
373,2026-09-20T04:51:09Z,10,10,10,10,10,1,50,0
379,2026-09-20T04:51:15Z,10,10,10,10,10,1,50,0
384,2026-09-20T04:51:20Z,10,10,10,10,10,1,50,0
389,2026-09-20T04:51:25Z,10,10,10,10,10,1,50,0
394,2026-09-20T04:51:30Z,10,10,10,10,10,1,50,0
400,2026-09-20T04:51:36Z,10,10,10,10,10,1,50,0
