t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T07:07:20Z,1,1,1,10,1,1,50,0
6,2026-09-20T07:07:26Z,1,1,1,1,1,1,50,0
11,2026-09-20T07:07:31Z,1,1,1,1,1,1,50,0
16,2026-09-20T07:07:36Z,1,1,1,1,1,1,50,0
22,2026-09-20T07:07:42Z,1,1,1,1,1,1,50,0
27,2026-09-20T07:07:47Z,1,1,1,1,1,1,50,0
32,2026-09-20T07:07:52Z,1,1,1,1,1,1,50,0
37,2026-09-20T07:07:57Z,1,1,1,1,1,1,50,0
43,2026-09-20T07:08:03Z,1,1,1,1,1,1,50,0
48,2026-09-20T07:08:08Z,1,1,1,1,1,1,50,0
53,2026-09-20T07:08:13Z,1,1,1,1,1,1,50,0
58,2026-09-20T07:08:18Z,1,1,1,1,1,1,50,0
64,2026-09-20T07:08:24Z,1,1,1,1,1,1,50,0
69,2026-09-20T07:08:29Z,1,1,1,1,1,1,50,0
74,2026-09-20T07:08:34Z,5,1,5,5,1,482,50,0
79,2026-09-20T07:08:39Z,5,1,5,5,5,482,50,0
85,2026-09-20T07:08:45Z,5,1,5,5,5,482,50,0
90,2026-09-20T07:08:50Z,10,5,10,10,10,500,50,0
95,2026-09-20T07:08:55Z,10,5,10,10,10,500,50,0
101,2026-09-20T07:09:01Z,10,5,10,10,10,500,50,0
106,2026-09-20T07:09:06Z,10,10,10,10,10,342,50,0
111,2026-09-20T07:09:11Z,10,10,10,10,10,342,50,0
117,2026-09-20T07:09:17Z,10,10,10,10,10,180,50,0
122,2026-09-20T07:09:22Z,10,10,10,10,10,180,50,0
127,2026-09-20T07:09:27Z,10,10,10,10,10,180,50,0
132,2026-09-20T07:09:33Z,10,10,10,10,10,178,50,0
138,2026-09-20T07:09:38Z,10,10,10,10,10,178,50,0
143,2026-09-20T07:09:43Z,10,10,10,10,10,178,50,0
148,2026-09-20T07:09:48Z,10,10,10,10,10,178,50,0
154,2026-09-20T07:09:54Z,10,10,10,10,10,178,50,0
159,2026-09-20T07:09:59Z,10,10,10,10,10,178,50,0
164,2026-09-20T07:10:04Z,10,10,10,10,10,179,50,0
170,2026-09-20T07:10:10Z,10,10,10,10,10,179,50,0
175,2026-09-20T07:10:15Z,10,10,10,10,10,179,50,0
180,2026-09-20T07:10:20Z,10,10,10,10,10,180,50,0
186,2026-09-20T07:10:26Z,10,10,10,10,10,180,50,0
191,2026-09-20T07:10:31Z,10,10,10,10,10,180,50,0
196,2026-09-20T07:10:36Z,10,10,10,10,10,177,50,0
202,2026-09-20T07:10:42Z,10,10,10,10,10,177,50,0
207,2026-09-20T07:10:47Z,10,10,10,10,10,175,50,0
212,2026-09-20T07:10:52Z,10,10,10,10,10,175,50,0
218,2026-09-20T07:10:58Z,10,10,10,10,10,175,50,0
223,2026-09-20T07:11:03Z,10,10,10,10,10,178,50,0
228,2026-09-20T07:11:08Z,10,10,10,10,10,178,50,0
233,2026-09-20T07:11:13Z,10,10,10,10,10,178,50,0
239,2026-09-20T07:11:19Z,10,10,10,10,10,180,50,0
244,2026-09-20T07:11:24Z,10,10,10,10,10,180,50,0
249,2026-09-20T07:11:29Z,10,10,10,10,10,180,50,0
255,2026-09-20T07:11:35Z,10,10,10,10,10,179,50,0
260,2026-09-20T07:11:40Z,10,10,10,10,10,179,50,0
265,2026-09-20T07:11:45Z,10,10,10,10,10,179,50,0
271,2026-09-20T07:11:51Z,10,10,10,10,10,177,50,0
276,2026-09-20T07:11:56Z,10,10,10,10,10,177,50,0
281,2026-09-20T07:12:01Z,10,10,10,10,10,177,50,0
287,2026-09-20T07:12:07Z,10,10,10,10,10,178,50,0
292,2026-09-20T07:12:12Z,10,10,10,10,10,178,50,0
297,2026-09-20T07:12:17Z,10,10,10,10,10,174,50,0
303,2026-09-20T07:12:23Z,10,10,10,10,10,174,50,0
308,2026-09-20T07:12:28Z,10,10,10,10,10,174,50,0
313,2026-09-20T07:12:33Z,10,10,10,10,10,9,50,0
318,2026-09-20T07:12:38Z,10,10,10,10,10,9,50,0
324,2026-09-20T07:12:44Z,10,10,10,10,10,9,50,0
329,2026-09-20T07:12:49Z,10,10,10,10,10,1,50,0
334,2026-09-20T07:12:54Z,10,10,10,10,10,1,50,0
339,2026-09-20T07:12:59Z,10,10,10,10,10,1,50,0
345,2026-09-20T07:13:05Z,10,10,10,10,10,1,50,0
350,2026-09-20T07:13:10Z,10,10,10,10,10,1,50,0
355,2026-09-20T07:13:15Z,10,10,10,10,10,1,50,0
360,2026-09-20T07:13:20Z,10,10,10,10,10,1,50,0
366,2026-09-20T07:13:26Z,10,10,10,10,10,1,50,0
371,2026-09-20T07:13:31Z,10,10,10,10,10,1,50,0
376,2026-09-20T07:13:36Z,10,10,10,10,10,1,50,0
381,2026-09-20T07:13:41Z,10,10,10,10,10,1,50,0
387,2026-09-20T07:13:47Z,10,10,10,10,10,1,50,0
392,2026-09-20T07:13:52Z,10,10,10,10,10,1,50,0
397,2026-09-20T07:13:57Z,10,10,10,10,10,1,50,0
402,2026-09-20T07:14:02Z,10,10,10,10,10,1,50,0
