t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T05:12:59Z,1,1,1,10,1,1,50,0
5,2026-09-20T05:13:04Z,1,1,1,1,1,1,50,0
10,2026-09-20T05:13:09Z,1,1,1,1,1,1,50,0
16,2026-09-20T05:13:15Z,1,1,1,1,1,1,50,0
21,2026-09-20T05:13:20Z,1,1,1,1,1,1,50,0
26,2026-09-20T05:13:25Z,1,1,1,1,1,1,50,0
32,2026-09-20T05:13:31Z,1,1,1,1,1,1,50,0
37,2026-09-20T05:13:36Z,1,1,1,1,1,1,50,0
42,2026-09-20T05:13:41Z,1,1,1,1,1,1,50,0
47,2026-09-20T05:13:46Z,1,1,1,1,1,1,50,0
53,2026-09-20T05:13:52Z,1,1,1,1,1,1,50,0
58,2026-09-20T05:13:57Z,2,1,2,2,1,69,50,1
63,2026-09-20T05:14:02Z,2,1,2,2,2,69,50,0
68,2026-09-20T05:14:07Z,2,1,2,2,2,69,50,0
74,2026-09-20T05:14:13Z,2,2,2,2,2,69,50,0
79,2026-09-20T05:14:18Z,2,2,2,2,2,69,50,0
84,2026-09-20T05:14:23Z,2,2,2,2,2,69,50,0
89,2026-09-20T05:14:28Z,2,2,2,2,2,69,50,0
95,2026-09-20T05:14:34Z,2,2,2,2,1,69,50,0
100,2026-09-20T05:14:39Z,2,2,2,2,2,69,50,0
105,2026-09-20T05:14:44Z,2,2,2,2,2,69,50,0
110,2026-09-20T05:14:49Z,2,2,2,2,2,69,50,0
116,2026-09-20T05:14:55Z,2,2,2,2,2,69,50,0
121,2026-09-20T05:15:00Z,6,2,6,6,6,497,50,0
126,2026-09-20T05:15:05Z,6,2,6,6,6,497,50,0
132,2026-09-20T05:15:11Z,6,2,6,6,6,497,50,0
137,2026-09-20T05:15:16Z,10,6,10,10,10,497,50,0
142,2026-09-20T05:15:21Z,10,6,10,10,10,497,50,0
148,2026-09-20T05:15:27Z,10,10,10,10,10,497,50,0
153,2026-09-20T05:15:32Z,10,10,10,10,10,497,50,0
159,2026-09-20T05:15:38Z,10,10,10,10,10,497,50,0
164,2026-09-20T05:15:43Z,10,10,10,10,10,497,50,0
169,2026-09-20T05:15:48Z,10,10,10,10,10,497,50,0
175,2026-09-20T05:15:54Z,10,10,10,10,10,497,50,0
180,2026-09-20T05:15:59Z,10,10,10,10,10,376,50,0
186,2026-09-20T05:16:05Z,10,10,10,10,10,376,50,0
191,2026-09-20T05:16:10Z,10,10,10,10,10,376,50,0
196,2026-09-20T05:16:15Z,10,10,10,10,10,376,50,0
202,2026-09-20T05:16:21Z,10,10,10,10,10,376,50,0
207,2026-09-20T05:16:26Z,10,10,10,10,10,376,50,0
213,2026-09-20T05:16:32Z,10,10,10,10,10,376,50,0
218,2026-09-20T05:16:37Z,10,10,10,10,10,376,50,0
223,2026-09-20T05:16:42Z,10,10,10,10,10,376,50,0
229,2026-09-20T05:16:48Z,10,10,10,10,10,376,50,0
234,2026-09-20T05:16:53Z,10,10,10,10,10,376,50,0
240,2026-09-20T05:16:59Z,10,10,10,10,10,303,50,0
245,2026-09-20T05:17:04Z,10,10,10,10,10,303,50,0
250,2026-09-20T05:17:09Z,10,10,10,10,10,303,50,0
256,2026-09-20T05:17:15Z,10,10,10,10,10,303,50,0
261,2026-09-20T05:17:20Z,10,10,10,10,10,303,50,0
267,2026-09-20T05:17:26Z,10,10,10,10,10,303,50,0
272,2026-09-20T05:17:31Z,10,10,10,10,10,303,50,0
278,2026-09-20T05:17:37Z,10,10,10,10,10,303,50,0
283,2026-09-20T05:17:42Z,10,10,10,10,10,303,50,0
288,2026-09-20T05:17:47Z,10,10,10,10,10,303,50,0
294,2026-09-20T05:17:53Z,10,10,10,10,10,303,50,0
299,2026-09-20T05:17:58Z,10,10,10,10,10,263,50,0
304,2026-09-20T05:18:03Z,10,10,10,10,10,263,50,0
309,2026-09-20T05:18:08Z,10,10,10,10,10,263,50,0
315,2026-09-20T05:18:14Z,10,10,10,10,10,263,50,0
320,2026-09-20T05:18:19Z,10,10,10,10,10,263,50,0
325,2026-09-20T05:18:24Z,10,10,10,10,10,263,50,0
330,2026-09-20T05:18:29Z,10,10,10,10,10,263,50,0
336,2026-09-20T05:18:35Z,10,10,10,10,10,263,50,0
341,2026-09-20T05:18:40Z,10,10,10,10,10,263,50,0
346,2026-09-20T05:18:45Z,10,10,10,10,10,263,50,0
351,2026-09-20T05:18:50Z,10,10,10,10,10,263,50,0
357,2026-09-20T05:18:56Z,10,10,10,10,10,263,50,0
362,2026-09-20T05:19:01Z,10,10,10,10,10,1,50,0
367,2026-09-20T05:19:06Z,10,10,10,10,10,1,50,0
372,2026-09-20T05:19:11Z,10,10,10,10,10,1,50,0
378,2026-09-20T05:19:17Z,10,10,10,10,10,1,50,0
383,2026-09-20T05:19:22Z,10,10,10,10,10,1,50,0
388,2026-09-20T05:19:27Z,10,10,10,10,10,1,50,0
394,2026-09-20T05:19:33Z,10,10,10,10,10,1,50,0
399,2026-09-20T05:19:38Z,10,10,10,10,10,1,50,0
404,2026-09-20T05:19:43Z,10,10,10,10,10,1,50,0
