t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T12:55:00Z,5,1,5,12,1,355,50,4
6,2026-09-20T12:55:06Z,5,1,5,12,5,355,50,0
11,2026-09-20T12:55:11Z,5,1,5,5,5,355,50,0
16,2026-09-20T12:55:16Z,5,5,5,5,5,5,50,0
22,2026-09-20T12:55:22Z,5,5,5,5,5,5,50,0
27,2026-09-20T12:55:27Z,5,5,5,5,5,5,50,0
32,2026-09-20T12:55:32Z,5,5,5,5,5,5,50,0
37,2026-09-20T12:55:37Z,5,5,5,5,5,5,50,0
43,2026-09-20T12:55:43Z,5,5,5,5,5,5,50,0
48,2026-09-20T12:55:48Z,5,5,5,5,5,5,50,0
53,2026-09-20T12:55:53Z,5,5,5,5,5,5,50,0
58,2026-09-20T12:55:59Z,5,5,5,5,5,5,50,0
64,2026-09-20T12:56:04Z,5,5,5,5,5,5,50,0
69,2026-09-20T12:56:09Z,5,5,5,5,5,5,50,0
74,2026-09-20T12:56:14Z,5,5,5,5,5,5,50,0
80,2026-09-20T12:56:20Z,10,5,10,10,10,179,50,0
85,2026-09-20T12:56:25Z,10,5,10,10,10,179,50,0
90,2026-09-20T12:56:30Z,10,10,10,10,10,179,50,0
95,2026-09-20T12:56:35Z,10,10,10,10,10,179,50,0
101,2026-09-20T12:56:41Z,10,10,10,10,10,179,50,0
106,2026-09-20T12:56:46Z,10,10,10,10,10,179,50,0
112,2026-09-20T12:56:52Z,10,10,10,10,10,179,50,0
117,2026-09-20T12:56:57Z,10,10,10,10,10,179,50,0
122,2026-09-20T12:57:02Z,10,10,10,10,10,179,50,0
127,2026-09-20T12:57:07Z,10,10,10,10,10,179,50,0
133,2026-09-20T12:57:13Z,10,10,10,10,10,179,50,0
138,2026-09-20T12:57:18Z,10,10,10,10,10,189,50,0
143,2026-09-20T12:57:23Z,10,10,10,10,10,189,50,0
149,2026-09-20T12:57:29Z,10,10,10,10,10,189,50,0
154,2026-09-20T12:57:34Z,10,10,10,10,10,189,50,0
159,2026-09-20T12:57:39Z,10,10,10,10,10,189,50,0
164,2026-09-20T12:57:44Z,10,10,10,10,10,189,50,0
