t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:15:20Z,2,1,2,11,2,58,50,0
5,2026-09-20T13:15:25Z,2,1,2,11,2,58,50,0
10,2026-09-20T13:15:30Z,2,1,2,2,2,58,50,0
15,2026-09-20T13:15:35Z,2,2,2,2,2,58,50,0
21,2026-09-20T13:15:41Z,2,2,2,2,2,58,50,0
26,2026-09-20T13:15:46Z,2,2,2,2,2,58,50,0
31,2026-09-20T13:15:51Z,2,2,2,2,2,58,50,0
36,2026-09-20T13:15:56Z,2,2,2,2,2,58,50,0
42,2026-09-20T13:16:02Z,2,2,2,2,2,58,50,0
47,2026-09-20T13:16:07Z,2,2,2,2,2,58,50,0
52,2026-09-20T13:16:12Z,2,2,2,2,2,58,50,0
57,2026-09-20T13:16:17Z,2,2,2,2,2,1,50,0
63,2026-09-20T13:16:23Z,2,2,2,2,2,1,50,0
68,2026-09-20T13:16:28Z,2,2,2,2,2,1,50,0
73,2026-09-20T13:16:33Z,2,2,2,2,2,1,50,0
78,2026-09-20T13:16:38Z,2,2,2,2,2,1,50,0
84,2026-09-20T13:16:44Z,2,2,2,2,2,1,50,0
89,2026-09-20T13:16:49Z,2,2,2,2,2,1,50,0
94,2026-09-20T13:16:54Z,2,2,2,2,2,1,50,0
100,2026-09-20T13:17:00Z,2,2,2,2,2,1,50,0
105,2026-09-20T13:17:05Z,2,2,2,2,2,1,50,0
110,2026-09-20T13:17:10Z,2,2,2,2,2,1,50,0
115,2026-09-20T13:17:15Z,2,2,2,2,2,1,50,0
121,2026-09-20T13:17:21Z,6,2,6,6,2,223,50,0
126,2026-09-20T13:17:26Z,6,2,6,6,6,223,50,0
131,2026-09-20T13:17:31Z,9,6,9,9,6,223,50,3
137,2026-09-20T13:17:37Z,9,6,9,9,9,223,50,0
142,2026-09-20T13:17:42Z,9,6,9,9,9,223,50,0
147,2026-09-20T13:17:47Z,9,9,9,9,9,223,50,0
153,2026-09-20T13:17:53Z,9,9,9,9,9,223,50,0
158,2026-09-20T13:17:58Z,9,9,9,9,9,223,50,0
163,2026-09-20T13:18:03Z,9,9,9,9,9,223,50,0
169,2026-09-20T13:18:09Z,9,9,9,9,9,223,50,0
174,2026-09-20T13:18:14Z,9,9,9,9,9,223,50,0
179,2026-09-20T13:18:19Z,10,9,10,10,10,281,50,0
184,2026-09-20T13:18:24Z,10,9,10,10,10,281,50,0
190,2026-09-20T13:18:30Z,10,9,10,10,10,281,50,0
195,2026-09-20T13:18:35Z,10,10,10,10,10,281,50,0
200,2026-09-20T13:18:40Z,10,10,10,10,10,281,50,0
205,2026-09-20T13:18:45Z,10,10,10,10,10,281,50,0
211,2026-09-20T13:18:51Z,10,10,10,10,10,281,50,0
