t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T05:56:28Z,1,1,1,2,1,1,50,0
6,2026-09-20T05:56:34Z,1,1,1,2,1,1,50,0
11,2026-09-20T05:56:39Z,1,1,1,1,1,1,50,0
16,2026-09-20T05:56:44Z,1,1,1,1,1,1,50,0
21,2026-09-20T05:56:49Z,1,1,1,1,1,1,50,0
27,2026-09-20T05:56:55Z,1,1,1,1,1,1,50,0
32,2026-09-20T05:57:00Z,1,1,1,1,1,1,50,0
37,2026-09-20T05:57:05Z,1,1,1,1,1,1,50,0
42,2026-09-20T05:57:10Z,1,1,1,1,1,1,50,0
48,2026-09-20T05:57:16Z,1,1,1,1,1,1,50,0
53,2026-09-20T05:57:21Z,1,1,1,1,1,1,50,0
58,2026-09-20T05:57:26Z,1,1,1,1,0,1,50,0
64,2026-09-20T05:57:32Z,1,1,1,1,1,1,50,0
69,2026-09-20T05:57:37Z,1,1,1,1,1,1,50,0
74,2026-09-20T05:57:42Z,1,1,1,1,1,1,50,0
79,2026-09-20T05:57:47Z,1,1,1,1,1,1,50,0
85,2026-09-20T05:57:53Z,1,1,1,1,1,1,50,0
90,2026-09-20T05:57:58Z,1,1,1,1,1,1,50,0
95,2026-09-20T05:58:03Z,5,1,5,5,5,320,50,0
100,2026-09-20T05:58:08Z,5,1,5,5,5,320,50,0
106,2026-09-20T05:58:14Z,7,5,7,7,5,320,50,2
111,2026-09-20T05:58:19Z,7,5,7,7,7,320,50,0
116,2026-09-20T05:58:24Z,7,5,7,7,7,320,50,0
122,2026-09-20T05:58:30Z,7,7,7,7,7,320,50,0
127,2026-09-20T05:58:35Z,7,7,7,7,7,320,50,0
132,2026-09-20T05:58:40Z,7,7,7,7,7,320,50,0
138,2026-09-20T05:58:46Z,7,7,7,7,7,320,50,0
143,2026-09-20T05:58:51Z,7,7,7,7,7,320,50,0
148,2026-09-20T05:58:56Z,7,7,7,7,7,320,50,0
153,2026-09-20T05:59:01Z,7,7,7,7,7,301,50,0
159,2026-09-20T05:59:07Z,7,7,7,7,7,301,50,0
164,2026-09-20T05:59:12Z,7,7,7,7,7,301,50,0
169,2026-09-20T05:59:17Z,7,7,7,7,7,301,50,0
175,2026-09-20T05:59:23Z,7,7,7,7,7,301,50,0
180,2026-09-20T05:59:28Z,7,7,7,7,7,301,50,0
185,2026-09-20T05:59:33Z,7,7,7,7,7,301,50,0
191,2026-09-20T05:59:39Z,7,7,7,7,7,301,50,0
196,2026-09-20T05:59:44Z,7,7,7,7,7,301,50,0
201,2026-09-20T05:59:49Z,7,7,7,7,7,301,50,0
206,2026-09-20T05:59:54Z,7,7,7,7,7,301,50,0
212,2026-09-20T06:00:00Z,10,7,10,10,7,234,50,0
217,2026-09-20T06:00:05Z,10,7,10,10,10,234,50,0
222,2026-09-20T06:00:10Z,10,7,10,10,10,234,50,0
228,2026-09-20T06:00:16Z,10,10,10,10,10,234,50,0
233,2026-09-20T06:00:21Z,10,10,10,10,10,234,50,0
238,2026-09-20T06:00:26Z,10,10,10,10,10,234,50,0
243,2026-09-20T06:00:31Z,10,10,10,10,10,234,50,0
249,2026-09-20T06:00:37Z,10,10,10,10,10,234,50,0
254,2026-09-20T06:00:42Z,10,10,10,10,10,234,50,0
259,2026-09-20T06:00:47Z,10,10,10,10,10,234,50,0
264,2026-09-20T06:00:52Z,10,10,10,10,10,234,50,0
270,2026-09-20T06:00:58Z,10,10,10,10,10,234,50,0
275,2026-09-20T06:01:03Z,10,10,10,10,10,73,50,0
280,2026-09-20T06:01:08Z,10,10,10,10,10,73,50,0
286,2026-09-20T06:01:14Z,10,10,10,10,10,73,50,0
291,2026-09-20T06:01:19Z,10,10,10,10,10,73,50,0
296,2026-09-20T06:01:24Z,10,10,10,10,10,73,50,0
301,2026-09-20T06:01:29Z,10,10,10,10,10,73,50,0
307,2026-09-20T06:01:35Z,10,10,10,10,10,73,50,0
312,2026-09-20T06:01:40Z,10,10,10,10,10,73,50,0
317,2026-09-20T06:01:45Z,10,10,10,10,10,73,50,0
322,2026-09-20T06:01:50Z,10,10,10,10,10,73,50,0
328,2026-09-20T06:01:56Z,10,10,10,10,10,73,50,0
333,2026-09-20T06:02:01Z,10,10,10,10,10,1,50,0
338,2026-09-20T06:02:06Z,10,10,10,10,10,1,50,0
343,2026-09-20T06:02:11Z,10,10,10,10,10,1,50,0
349,2026-09-20T06:02:17Z,10,10,10,10,10,1,50,0
354,2026-09-20T06:02:22Z,10,10,10,10,10,1,50,0
359,2026-09-20T06:02:27Z,10,10,10,10,10,1,50,0
364,2026-09-20T06:02:32Z,10,10,10,10,10,1,50,0
370,2026-09-20T06:02:38Z,10,10,10,10,10,1,50,0
375,2026-09-20T06:02:43Z,10,10,10,10,10,1,50,0
380,2026-09-20T06:02:48Z,10,10,10,10,10,1,50,0
385,2026-09-20T06:02:53Z,10,10,10,10,10,1,50,0
391,2026-09-20T06:02:59Z,10,10,10,10,10,1,50,0
396,2026-09-20T06:03:04Z,10,10,10,10,10,1,50,0
401,2026-09-20T06:03:09Z,10,10,10,10,10,1,50,0
406,2026-09-20T06:03:14Z,10,10,10,10,10,1,50,0
412,2026-09-20T06:03:20Z,10,10,10,10,10,1,50,0
417,2026-09-20T06:03:25Z,10,10,10,10,10,1,50,0
422,2026-09-20T06:03:30Z,10,10,10,10,10,1,50,0
428,2026-09-20T06:03:36Z,10,10,10,10,10,1,50,0
433,2026-09-20T06:03:41Z,10,10,10,10,10,1,50,0
438,2026-09-20T06:03:46Z,10,10,10,10,10,1,50,0
443,2026-09-20T06:03:51Z,10,10,10,10,10,1,50,0
449,2026-09-20T06:03:57Z,10,10,10,10,10,1,50,0
454,2026-09-20T06:04:02Z,10,10,10,10,10,1,50,0
459,2026-09-20T06:04:07Z,10,10,10,10,10,1,50,0
464,2026-09-20T06:04:12Z,10,10,10,10,10,1,50,0
470,2026-09-20T06:04:18Z,10,10,10,10,10,1,50,0
475,2026-09-20T06:04:23Z,10,10,10,10,10,1,50,0
480,2026-09-20T06:04:28Z,10,10,10,10,10,1,50,0
485,2026-09-20T06:04:33Z,10,10,10,10,10,1,50,0
491,2026-09-20T06:04:39Z,10,10,10,10,10,1,50,0
496,2026-09-20T06:04:44Z,5,10,5,10,5,1,50,0
501,2026-09-20T06:04:49Z,5,10,5,10,5,1,50,0
506,2026-09-20T06:04:54Z,5,10,5,10,5,1,50,0
512,2026-09-20T06:05:00Z,5,5,5,7,5,1,50,0
517,2026-09-20T06:05:05Z,5,5,5,5,5,1,50,0
522,2026-09-20T06:05:10Z,5,5,5,5,5,1,50,0
527,2026-09-20T06:05:15Z,5,5,5,5,5,1,50,0
533,2026-09-20T06:05:21Z,5,5,5,5,5,1,50,0
538,2026-09-20T06:05:26Z,5,5,5,5,5,1,50,0
543,2026-09-20T06:05:31Z,5,5,5,5,5,1,50,0
548,2026-09-20T06:05:36Z,5,5,5,5,5,1,50,0
554,2026-09-20T06:05:42Z,5,5,5,5,5,1,50,0
