t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T07:51:51Z,1,1,1,10,1,1,50,0
5,2026-09-20T07:51:56Z,1,1,1,1,1,1,50,0
10,2026-09-20T07:52:01Z,1,1,1,1,1,1,50,0
16,2026-09-20T07:52:07Z,1,1,1,1,1,1,50,0
21,2026-09-20T07:52:12Z,1,1,1,1,1,1,50,0
26,2026-09-20T07:52:17Z,1,1,1,1,1,1,50,0
31,2026-09-20T07:52:22Z,1,1,1,1,1,1,50,0
37,2026-09-20T07:52:28Z,1,1,1,1,1,1,50,0
42,2026-09-20T07:52:33Z,1,1,1,1,1,1,50,0
47,2026-09-20T07:52:38Z,1,1,1,1,1,1,50,0
52,2026-09-20T07:52:43Z,1,1,1,1,1,1,50,0
58,2026-09-20T07:52:49Z,1,1,1,1,1,1,50,0
63,2026-09-20T07:52:54Z,1,1,1,1,1,1,50,0
68,2026-09-20T07:52:59Z,1,1,1,1,1,1,50,0
74,2026-09-20T07:53:05Z,1,1,1,1,0,1,50,0
79,2026-09-20T07:53:10Z,1,1,1,1,1,1,50,0
84,2026-09-20T07:53:15Z,1,1,1,1,1,1,50,0
89,2026-09-20T07:53:20Z,5,1,5,5,1,252,50,0
95,2026-09-20T07:53:26Z,5,1,5,5,5,252,50,0
100,2026-09-20T07:53:31Z,5,1,5,5,5,252,50,0
105,2026-09-20T07:53:36Z,5,5,5,5,5,252,50,0
111,2026-09-20T07:53:42Z,5,5,5,5,5,252,50,0
116,2026-09-20T07:53:47Z,5,5,5,5,5,252,50,0
121,2026-09-20T07:53:52Z,5,5,5,5,5,252,50,0
126,2026-09-20T07:53:57Z,5,5,5,5,5,252,50,0
132,2026-09-20T07:54:03Z,5,5,5,5,5,252,50,0
137,2026-09-20T07:54:08Z,5,5,5,5,5,252,50,0
142,2026-09-20T07:54:13Z,5,5,5,5,5,252,50,0
148,2026-09-20T07:54:19Z,8,5,5,5,5,380,50,3
153,2026-09-20T07:54:24Z,8,5,8,8,8,380,50,0
158,2026-09-20T07:54:29Z,8,5,8,8,8,380,50,0
163,2026-09-20T07:54:34Z,8,8,8,8,8,380,50,0
169,2026-09-20T07:54:40Z,8,8,8,8,8,380,50,0
174,2026-09-20T07:54:45Z,8,8,8,8,8,380,50,0
180,2026-09-20T07:54:51Z,8,8,8,8,8,380,50,0
185,2026-09-20T07:54:56Z,8,8,8,8,8,380,50,0
190,2026-09-20T07:55:01Z,8,8,8,8,8,380,50,0
195,2026-09-20T07:55:06Z,8,8,8,8,8,380,50,0
201,2026-09-20T07:55:12Z,8,8,8,8,8,380,50,0
206,2026-09-20T07:55:17Z,8,8,8,8,8,380,50,0
211,2026-09-20T07:55:22Z,10,8,10,10,8,244,50,0
217,2026-09-20T07:55:28Z,10,8,10,10,10,244,50,0
222,2026-09-20T07:55:33Z,10,8,10,10,10,244,50,0
227,2026-09-20T07:55:38Z,10,10,10,10,10,244,50,0
233,2026-09-20T07:55:44Z,10,10,10,10,10,244,50,0
238,2026-09-20T07:55:49Z,10,10,10,10,10,244,50,0
243,2026-09-20T07:55:54Z,10,10,10,10,10,244,50,0
249,2026-09-20T07:56:00Z,10,10,10,10,10,244,50,0
254,2026-09-20T07:56:05Z,10,10,10,10,10,244,50,0
259,2026-09-20T07:56:10Z,10,10,10,10,10,244,50,0
264,2026-09-20T07:56:15Z,10,10,10,10,10,244,50,0
270,2026-09-20T07:56:21Z,10,10,10,10,10,190,50,0
275,2026-09-20T07:56:26Z,10,10,10,10,10,190,50,0
280,2026-09-20T07:56:31Z,10,10,10,10,10,190,50,0
286,2026-09-20T07:56:37Z,10,10,10,10,10,190,50,0
291,2026-09-20T07:56:42Z,10,10,10,10,10,190,50,0
296,2026-09-20T07:56:47Z,10,10,10,10,10,190,50,0
302,2026-09-20T07:56:53Z,10,10,10,10,10,190,50,0
307,2026-09-20T07:56:58Z,10,10,10,10,10,190,50,0
312,2026-09-20T07:57:03Z,10,10,10,10,10,190,50,0
317,2026-09-20T07:57:08Z,10,10,10,10,10,190,50,0
323,2026-09-20T07:57:14Z,10,10,10,10,10,190,50,0
328,2026-09-20T07:57:19Z,10,10,10,10,10,88,50,0
333,2026-09-20T07:57:24Z,10,10,10,10,10,88,50,0
338,2026-09-20T07:57:29Z,10,10,10,10,10,88,50,0
344,2026-09-20T07:57:35Z,10,10,10,10,10,88,50,0
349,2026-09-20T07:57:40Z,10,10,10,10,10,88,50,0
354,2026-09-20T07:57:45Z,10,10,10,10,10,88,50,0
359,2026-09-20T07:57:50Z,10,10,10,10,10,88,50,0
365,2026-09-20T07:57:56Z,10,10,10,10,10,88,50,0
370,2026-09-20T07:58:01Z,10,10,10,10,10,88,50,0
375,2026-09-20T07:58:06Z,10,10,10,10,10,88,50,0
380,2026-09-20T07:58:11Z,10,10,10,10,10,88,50,0
386,2026-09-20T07:58:17Z,10,10,10,10,10,88,50,0
391,2026-09-20T07:58:22Z,10,10,10,10,10,1,50,0
396,2026-09-20T07:58:27Z,10,10,10,10,10,1,50,0
401,2026-09-20T07:58:32Z,10,10,10,10,10,1,50,0
