t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T05:33:59Z,1,1,1,10,1,1,50,0
5,2026-09-20T05:34:04Z,1,1,1,10,1,1,50,0
11,2026-09-20T05:34:10Z,1,1,1,1,1,1,50,0
16,2026-09-20T05:34:15Z,1,1,1,1,1,1,50,0
21,2026-09-20T05:34:20Z,1,1,1,1,1,1,50,0
26,2026-09-20T05:34:25Z,1,1,1,1,1,1,50,0
32,2026-09-20T05:34:31Z,1,1,1,1,1,1,50,0
37,2026-09-20T05:34:36Z,1,1,1,1,1,1,50,0
42,2026-09-20T05:34:41Z,1,1,1,1,1,1,50,0
47,2026-09-20T05:34:46Z,1,1,1,1,1,1,50,0
53,2026-09-20T05:34:52Z,1,1,1,1,1,1,50,0
58,2026-09-20T05:34:57Z,1,1,1,1,1,1,50,0
63,2026-09-20T05:35:02Z,2,1,2,2,2,67,50,0
69,2026-09-20T05:35:08Z,2,1,2,2,2,67,50,0
74,2026-09-20T05:35:13Z,2,2,2,2,2,67,50,0
79,2026-09-20T05:35:18Z,2,2,2,2,2,67,50,0
84,2026-09-20T05:35:23Z,2,2,2,2,2,67,50,0
90,2026-09-20T05:35:29Z,2,2,2,2,2,67,50,0
95,2026-09-20T05:35:34Z,2,2,2,2,2,67,50,0
100,2026-09-20T05:35:39Z,2,2,2,2,2,67,50,0
105,2026-09-20T05:35:44Z,2,2,2,2,2,67,50,0
111,2026-09-20T05:35:50Z,2,2,2,2,2,67,50,0
116,2026-09-20T05:35:55Z,2,2,2,2,2,67,50,0
121,2026-09-20T05:36:00Z,6,2,6,6,2,488,50,0
127,2026-09-20T05:36:06Z,6,2,6,6,6,488,50,0
132,2026-09-20T05:36:11Z,6,2,6,6,6,488,50,0
137,2026-09-20T05:36:16Z,10,6,10,10,6,488,50,0
142,2026-09-20T05:36:21Z,10,6,10,10,10,488,50,0
148,2026-09-20T05:36:27Z,10,6,10,10,10,488,50,0
153,2026-09-20T05:36:32Z,10,10,10,10,10,488,50,0
158,2026-09-20T05:36:37Z,10,10,10,10,10,488,50,0
164,2026-09-20T05:36:43Z,10,10,10,10,10,488,50,0
169,2026-09-20T05:36:48Z,10,10,10,10,10,488,50,0
174,2026-09-20T05:36:53Z,10,10,10,10,10,488,50,0
180,2026-09-20T05:36:59Z,10,10,10,10,10,259,50,0
185,2026-09-20T05:37:04Z,10,10,10,10,10,259,50,0
190,2026-09-20T05:37:09Z,10,10,10,10,10,259,50,0
195,2026-09-20T05:37:14Z,10,10,10,10,10,259,50,0
201,2026-09-20T05:37:20Z,10,10,10,10,10,259,50,0
206,2026-09-20T05:37:25Z,10,10,10,10,10,259,50,0
211,2026-09-20T05:37:30Z,10,10,10,10,10,259,50,0
217,2026-09-20T05:37:36Z,10,10,10,10,10,259,50,0
222,2026-09-20T05:37:41Z,10,10,10,10,10,259,50,0
227,2026-09-20T05:37:46Z,10,10,10,10,10,259,50,0
233,2026-09-20T05:37:52Z,10,10,10,10,10,259,50,0
238,2026-09-20T05:37:57Z,10,10,10,10,10,259,50,0
243,2026-09-20T05:38:02Z,10,10,10,10,10,154,50,0
248,2026-09-20T05:38:07Z,10,10,10,10,10,154,50,0
254,2026-09-20T05:38:13Z,10,10,10,10,10,154,50,0
259,2026-09-20T05:38:18Z,10,10,10,10,10,154,50,0
264,2026-09-20T05:38:23Z,10,10,10,10,10,154,50,0
269,2026-09-20T05:38:28Z,10,10,10,10,10,154,50,0
275,2026-09-20T05:38:34Z,10,10,10,10,10,154,50,0
280,2026-09-20T05:38:39Z,10,10,10,10,10,154,50,0
285,2026-09-20T05:38:44Z,10,10,10,10,10,154,50,0
291,2026-09-20T05:38:50Z,10,10,10,10,10,154,50,0
296,2026-09-20T05:38:55Z,10,10,10,10,10,154,50,0
301,2026-09-20T05:39:00Z,10,10,10,10,10,1,50,0
306,2026-09-20T05:39:05Z,10,10,10,10,10,1,50,0
312,2026-09-20T05:39:11Z,10,10,10,10,10,1,50,0
317,2026-09-20T05:39:16Z,10,10,10,10,10,1,50,0
322,2026-09-20T05:39:21Z,10,10,10,10,10,1,50,0
327,2026-09-20T05:39:26Z,10,10,10,10,10,1,50,0
333,2026-09-20T05:39:32Z,10,10,10,10,10,1,50,0
338,2026-09-20T05:39:37Z,10,10,10,10,10,1,50,0
343,2026-09-20T05:39:42Z,10,10,10,10,10,1,50,0
348,2026-09-20T05:39:47Z,5,10,5,10,5,1,50,0
354,2026-09-20T05:39:53Z,5,10,5,10,5,1,50,0
359,2026-09-20T05:39:58Z,5,5,5,8,5,1,50,0
364,2026-09-20T05:40:03Z,5,5,5,5,5,1,50,0
369,2026-09-20T05:40:08Z,5,5,5,5,5,1,50,0
375,2026-09-20T05:40:14Z,5,5,5,5,5,1,50,0
380,2026-09-20T05:40:19Z,5,5,5,5,5,1,50,0
385,2026-09-20T05:40:24Z,5,5,5,5,5,1,50,0
391,2026-09-20T05:40:30Z,5,5,5,5,5,1,50,0
396,2026-09-20T05:40:35Z,5,5,5,5,5,1,50,0
401,2026-09-20T05:40:40Z,5,5,5,5,5,1,50,0
406,2026-09-20T05:40:45Z,2,5,2,5,2,1,50,0
412,2026-09-20T05:40:51Z,2,5,2,5,2,1,50,0
417,2026-09-20T05:40:56Z,2,5,2,5,2,1,50,0
422,2026-09-20T05:41:01Z,2,2,2,2,2,1,50,0
427,2026-09-20T05:41:06Z,2,2,2,2,2,1,50,0
433,2026-09-20T05:41:12Z,2,2,2,2,2,1,50,0
