t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T06:36:30Z,1,1,1,2,1,1,50,0
6,2026-09-20T06:36:36Z,1,1,1,2,1,1,50,0
11,2026-09-20T06:36:41Z,1,1,1,1,1,1,50,0
16,2026-09-20T06:36:46Z,1,1,1,1,1,1,50,0
21,2026-09-20T06:36:51Z,1,1,1,1,1,1,50,0
27,2026-09-20T06:36:57Z,1,1,1,1,1,1,50,0
32,2026-09-20T06:37:02Z,1,1,1,1,1,1,50,0
37,2026-09-20T06:37:07Z,1,1,1,1,1,1,50,0
43,2026-09-20T06:37:13Z,1,1,1,1,1,1,50,0
48,2026-09-20T06:37:18Z,1,1,1,1,1,1,50,0
53,2026-09-20T06:37:23Z,1,1,1,1,1,1,50,0
58,2026-09-20T06:37:28Z,1,1,1,1,1,1,50,0
64,2026-09-20T06:37:34Z,1,1,1,1,1,1,50,0
69,2026-09-20T06:37:39Z,1,1,1,1,1,1,50,0
74,2026-09-20T06:37:44Z,1,1,1,1,1,1,50,0
79,2026-09-20T06:37:49Z,1,1,1,1,0,1,50,0
85,2026-09-20T06:37:55Z,1,1,1,1,1,1,50,0
90,2026-09-20T06:38:00Z,1,1,1,1,1,1,50,0
95,2026-09-20T06:38:05Z,5,1,5,5,5,304,50,0
100,2026-09-20T06:38:10Z,5,1,5,5,5,304,50,0
106,2026-09-20T06:38:16Z,6,5,6,6,5,304,50,0
111,2026-09-20T06:38:21Z,6,5,6,6,6,304,50,0
116,2026-09-20T06:38:26Z,6,5,6,6,6,304,50,0
122,2026-09-20T06:38:32Z,6,6,6,6,6,304,50,0
127,2026-09-20T06:38:37Z,6,6,6,6,6,304,50,0
132,2026-09-20T06:38:42Z,6,6,6,6,6,304,50,0
137,2026-09-20T06:38:47Z,6,6,6,6,6,304,50,0
143,2026-09-20T06:38:53Z,6,6,6,6,6,304,50,0
148,2026-09-20T06:38:58Z,6,6,6,6,6,304,50,0
153,2026-09-20T06:39:03Z,8,6,8,8,6,355,50,0
159,2026-09-20T06:39:09Z,8,6,8,8,8,355,50,0
164,2026-09-20T06:39:14Z,8,6,8,8,8,355,50,0
169,2026-09-20T06:39:19Z,8,8,8,8,8,355,50,0
175,2026-09-20T06:39:25Z,8,8,8,8,8,355,50,0
180,2026-09-20T06:39:30Z,8,8,8,8,8,355,50,0
185,2026-09-20T06:39:35Z,8,8,8,8,8,355,50,0
191,2026-09-20T06:39:41Z,8,8,8,8,8,355,50,0
196,2026-09-20T06:39:46Z,8,8,8,8,8,355,50,0
201,2026-09-20T06:39:51Z,8,8,8,8,8,355,50,0
207,2026-09-20T06:39:57Z,8,8,8,8,8,355,50,0
212,2026-09-20T06:40:02Z,10,8,10,10,8,224,50,0
217,2026-09-20T06:40:07Z,10,8,10,10,10,224,50,0
222,2026-09-20T06:40:12Z,10,8,10,10,10,224,50,0
228,2026-09-20T06:40:18Z,10,10,10,10,10,224,50,0
233,2026-09-20T06:40:23Z,10,10,10,10,10,224,50,0
238,2026-09-20T06:40:28Z,10,10,10,10,10,224,50,0
244,2026-09-20T06:40:34Z,10,10,10,10,10,224,50,0
249,2026-09-20T06:40:39Z,10,10,10,10,10,224,50,0
254,2026-09-20T06:40:44Z,10,10,10,10,10,224,50,0
259,2026-09-20T06:40:49Z,10,10,10,10,10,224,50,0
265,2026-09-20T06:40:55Z,10,10,10,10,10,224,50,0
270,2026-09-20T06:41:00Z,10,10,10,10,10,224,50,0
275,2026-09-20T06:41:05Z,10,10,10,10,10,79,50,0
280,2026-09-20T06:41:10Z,10,10,10,10,10,79,50,0
286,2026-09-20T06:41:16Z,10,10,10,10,10,79,50,0
291,2026-09-20T06:41:21Z,10,10,10,10,10,79,50,0
296,2026-09-20T06:41:26Z,10,10,10,10,10,79,50,0
301,2026-09-20T06:41:31Z,10,10,10,10,10,79,50,0
307,2026-09-20T06:41:37Z,10,10,10,10,10,79,50,0
312,2026-09-20T06:41:42Z,10,10,10,10,10,79,50,0
317,2026-09-20T06:41:47Z,10,10,10,10,10,79,50,0
322,2026-09-20T06:41:52Z,10,10,10,10,10,79,50,0
328,2026-09-20T06:41:58Z,10,10,10,10,10,79,50,0
333,2026-09-20T06:42:03Z,10,10,10,10,10,1,50,0
338,2026-09-20T06:42:08Z,10,10,10,10,10,1,50,0
343,2026-09-20T06:42:13Z,10,10,10,10,10,1,50,0
349,2026-09-20T06:42:19Z,10,10,10,10,10,1,50,0
354,2026-09-20T06:42:24Z,10,10,10,10,10,1,50,0
359,2026-09-20T06:42:29Z,10,10,10,10,10,1,50,0
364,2026-09-20T06:42:34Z,10,10,10,10,10,1,50,0
370,2026-09-20T06:42:40Z,10,10,10,10,10,1,50,0
375,2026-09-20T06:42:45Z,10,10,10,10,10,1,50,0
380,2026-09-20T06:42:50Z,10,10,10,10,10,1,50,0
386,2026-09-20T06:42:56Z,10,10,10,10,10,1,50,0
391,2026-09-20T06:43:01Z,10,10,10,10,10,1,50,0
396,2026-09-20T06:43:06Z,10,10,10,10,10,1,50,0
401,2026-09-20T06:43:11Z,10,10,10,10,10,1,50,0
407,2026-09-20T06:43:17Z,10,10,10,10,10,1,50,0
412,2026-09-20T06:43:22Z,10,10,10,10,10,1,50,0
417,2026-09-20T06:43:27Z,10,10,10,10,10,1,50,0
422,2026-09-20T06:43:32Z,10,10,10,10,10,1,50,0
428,2026-09-20T06:43:38Z,10,10,10,10,10,1,50,0
433,2026-09-20T06:43:43Z,10,10,10,10,10,1,50,0
438,2026-09-20T06:43:48Z,10,10,10,10,10,1,50,0
443,2026-09-20T06:43:53Z,10,10,10,10,10,1,50,0
449,2026-09-20T06:43:59Z,10,10,10,10,10,1,50,0
454,2026-09-20T06:44:04Z,10,10,10,10,10,1,50,0
459,2026-09-20T06:44:09Z,10,10,10,10,10,1,50,0
464,2026-09-20T06:44:14Z,10,10,10,10,10,1,50,0
470,2026-09-20T06:44:20Z,10,10,10,10,10,1,50,0
475,2026-09-20T06:44:25Z,10,10,10,10,10,1,50,0
480,2026-09-20T06:44:30Z,10,10,10,10,10,1,50,0
485,2026-09-20T06:44:35Z,10,10,10,10,10,1,50,0
491,2026-09-20T06:44:41Z,10,10,10,10,10,1,50,0
496,2026-09-20T06:44:46Z,10,10,10,10,10,1,50,0
501,2026-09-20T06:44:51Z,10,10,10,10,10,1,50,0
506,2026-09-20T06:44:56Z,10,10,10,10,10,1,50,0
512,2026-09-20T06:45:02Z,10,10,10,10,10,1,50,0
517,2026-09-20T06:45:07Z,10,10,10,10,10,1,50,0
522,2026-09-20T06:45:12Z,10,10,10,10,10,1,50,0
528,2026-09-20T06:45:18Z,10,10,10,10,10,1,50,0
533,2026-09-20T06:45:23Z,10,10,10,10,10,1,50,0
538,2026-09-20T06:45:28Z,10,10,10,10,10,1,50,0
543,2026-09-20T06:45:33Z,10,10,10,10,10,1,50,0
549,2026-09-20T06:45:39Z,10,10,10,10,10,1,50,0
554,2026-09-20T06:45:44Z,10,10,10,10,10,1,50,0
559,2026-09-20T06:45:49Z,10,10,10,10,10,1,50,0
564,2026-09-20T06:45:54Z,10,10,10,10,10,1,50,0
570,2026-09-20T06:46:00Z,10,10,10,10,10,1,50,0
575,2026-09-20T06:46:05Z,10,10,10,10,10,1,50,0
580,2026-09-20T06:46:10Z,10,10,10,10,10,1,50,0
585,2026-09-20T06:46:15Z,10,10,10,10,10,1,50,0
591,2026-09-20T06:46:21Z,10,10,10,10,10,1,50,0
596,2026-09-20T06:46:26Z,10,10,10,10,10,1,50,0
601,2026-09-20T06:46:31Z,10,10,10,10,10,1,50,0
