t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T07:58:53Z,1,1,1,10,1,1,50,0
6,2026-09-20T07:58:59Z,1,1,1,1,1,1,50,0
11,2026-09-20T07:59:04Z,1,1,1,1,1,1,50,0
16,2026-09-20T07:59:09Z,1,1,1,1,1,1,50,0
21,2026-09-20T07:59:14Z,1,1,1,1,1,1,50,0
27,2026-09-20T07:59:20Z,1,1,1,1,1,1,50,0
32,2026-09-20T07:59:25Z,1,1,1,1,1,1,50,0
37,2026-09-20T07:59:30Z,1,1,1,1,1,1,50,0
42,2026-09-20T07:59:35Z,1,1,1,1,1,1,50,0
48,2026-09-20T07:59:41Z,1,1,1,1,1,1,50,0
53,2026-09-20T07:59:46Z,1,1,1,1,1,1,50,0
58,2026-09-20T07:59:51Z,1,1,1,1,1,1,50,0
63,2026-09-20T07:59:56Z,1,1,1,1,1,1,50,0
69,2026-09-20T08:00:02Z,1,1,1,1,1,1,50,0
74,2026-09-20T08:00:07Z,1,1,1,1,1,1,50,0
79,2026-09-20T08:00:12Z,1,1,1,1,1,1,50,0
85,2026-09-20T08:00:18Z,1,1,1,1,1,1,50,0
90,2026-09-20T08:00:23Z,5,1,5,5,5,236,50,0
95,2026-09-20T08:00:28Z,5,1,5,5,5,236,50,0
100,2026-09-20T08:00:33Z,5,1,5,5,5,236,50,0
106,2026-09-20T08:00:39Z,5,5,5,5,5,236,50,0
111,2026-09-20T08:00:44Z,5,5,5,5,5,236,50,0
116,2026-09-20T08:00:49Z,5,5,5,5,5,236,50,0
121,2026-09-20T08:00:54Z,5,5,5,5,5,236,50,0
127,2026-09-20T08:01:00Z,5,5,5,5,5,236,50,0
132,2026-09-20T08:01:05Z,5,5,5,5,5,236,50,0
137,2026-09-20T08:01:10Z,5,5,5,5,5,236,50,0
143,2026-09-20T08:01:16Z,5,5,5,5,5,236,50,0
148,2026-09-20T08:01:21Z,8,5,8,8,5,358,50,0
153,2026-09-20T08:01:26Z,8,5,8,8,8,358,50,0
159,2026-09-20T08:01:32Z,8,5,8,8,8,358,50,0
164,2026-09-20T08:01:37Z,8,8,8,8,8,358,50,0
169,2026-09-20T08:01:42Z,8,8,8,8,8,358,50,0
175,2026-09-20T08:01:48Z,8,8,8,8,8,358,50,0
180,2026-09-20T08:01:53Z,8,8,8,8,8,358,50,0
185,2026-09-20T08:01:58Z,8,8,8,8,8,358,50,0
190,2026-09-20T08:02:03Z,8,8,8,8,8,358,50,0
196,2026-09-20T08:02:09Z,8,8,8,8,8,358,50,0
201,2026-09-20T08:02:14Z,8,8,8,8,8,358,50,0
206,2026-09-20T08:02:19Z,10,8,10,10,8,247,50,2
212,2026-09-20T08:02:25Z,10,8,10,10,10,247,50,0
217,2026-09-20T08:02:30Z,10,8,10,10,10,247,50,0
223,2026-09-20T08:02:36Z,10,10,10,10,10,247,50,0
228,2026-09-20T08:02:41Z,10,10,10,10,10,247,50,0
233,2026-09-20T08:02:46Z,10,10,10,10,10,247,50,0
239,2026-09-20T08:02:52Z,10,10,10,10,10,247,50,0
244,2026-09-20T08:02:57Z,10,10,10,10,10,247,50,0
249,2026-09-20T08:03:02Z,10,10,10,10,10,247,50,0
254,2026-09-20T08:03:07Z,10,10,10,10,10,247,50,0
260,2026-09-20T08:03:13Z,10,10,10,10,10,247,50,0
265,2026-09-20T08:03:18Z,10,10,10,10,10,247,50,0
270,2026-09-20T08:03:23Z,10,10,10,10,10,190,50,0
276,2026-09-20T08:03:29Z,10,10,10,10,10,190,50,0
281,2026-09-20T08:03:34Z,10,10,10,10,10,190,50,0
286,2026-09-20T08:03:39Z,10,10,10,10,10,190,50,0
292,2026-09-20T08:03:45Z,10,10,10,10,10,190,50,0
297,2026-09-20T08:03:50Z,10,10,10,10,10,190,50,0
302,2026-09-20T08:03:55Z,10,10,10,10,10,190,50,0
307,2026-09-20T08:04:00Z,10,10,10,10,10,190,50,0
313,2026-09-20T08:04:06Z,10,10,10,10,10,190,50,0
318,2026-09-20T08:04:11Z,10,10,10,10,10,190,50,0
323,2026-09-20T08:04:16Z,10,10,10,10,10,190,50,0
328,2026-09-20T08:04:21Z,10,10,10,10,10,94,50,0
334,2026-09-20T08:04:27Z,10,10,10,10,10,94,50,0
339,2026-09-20T08:04:32Z,10,10,10,10,10,94,50,0
344,2026-09-20T08:04:37Z,10,10,10,10,10,94,50,0
349,2026-09-20T08:04:42Z,10,10,10,10,10,94,50,0
355,2026-09-20T08:04:48Z,10,10,10,10,10,94,50,0
360,2026-09-20T08:04:53Z,10,10,10,10,10,94,50,0
365,2026-09-20T08:04:58Z,10,10,10,10,10,94,50,0
371,2026-09-20T08:05:04Z,10,10,10,10,10,94,50,0
376,2026-09-20T08:05:09Z,10,10,10,10,10,94,50,0
381,2026-09-20T08:05:14Z,10,10,10,10,10,94,50,0
386,2026-09-20T08:05:19Z,10,10,10,10,10,1,50,0
392,2026-09-20T08:05:25Z,10,10,10,10,10,1,50,0
397,2026-09-20T08:05:30Z,10,10,10,10,10,1,50,0
402,2026-09-20T08:05:35Z,10,10,10,10,10,1,50,0
