t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T05:41:32Z,1,1,1,2,1,1,50,0
6,2026-09-20T05:41:38Z,1,1,1,1,1,1,50,0
11,2026-09-20T05:41:43Z,1,1,1,1,1,1,50,0
16,2026-09-20T05:41:48Z,1,1,1,1,1,1,50,0
21,2026-09-20T05:41:53Z,1,1,1,1,1,1,50,0
27,2026-09-20T05:41:59Z,1,1,1,1,1,1,50,0
32,2026-09-20T05:42:04Z,1,1,1,1,1,1,50,0
37,2026-09-20T05:42:09Z,1,1,1,1,1,1,50,0
42,2026-09-20T05:42:14Z,1,1,1,1,1,1,50,0
48,2026-09-20T05:42:20Z,1,1,1,1,1,1,50,0
53,2026-09-20T05:42:25Z,1,1,1,1,1,1,50,0
58,2026-09-20T05:42:30Z,1,1,1,1,1,1,50,0
63,2026-09-20T05:42:35Z,1,1,1,1,1,1,50,0
69,2026-09-20T05:42:41Z,1,1,1,1,0,1,50,0
74,2026-09-20T05:42:46Z,1,1,1,1,1,1,50,0
79,2026-09-20T05:42:51Z,1,1,1,1,1,1,50,0
84,2026-09-20T05:42:56Z,1,1,1,1,1,1,50,0
90,2026-09-20T05:43:02Z,5,1,5,5,5,290,50,0
95,2026-09-20T05:43:07Z,5,1,5,5,5,290,50,0
100,2026-09-20T05:43:12Z,5,1,5,5,5,290,50,0
106,2026-09-20T05:43:18Z,6,5,6,6,6,290,50,0
111,2026-09-20T05:43:23Z,6,5,6,6,6,290,50,0
116,2026-09-20T05:43:28Z,6,6,6,6,6,290,50,0
121,2026-09-20T05:43:33Z,6,6,6,6,6,290,50,0
127,2026-09-20T05:43:39Z,6,6,6,6,6,290,50,0
132,2026-09-20T05:43:44Z,6,6,6,6,6,290,50,0
137,2026-09-20T05:43:49Z,6,6,6,6,6,290,50,0
143,2026-09-20T05:43:55Z,6,6,6,6,6,290,50,0
148,2026-09-20T05:44:00Z,6,6,6,6,6,328,50,0
153,2026-09-20T05:44:05Z,6,6,6,6,6,328,50,0
159,2026-09-20T05:44:11Z,6,6,6,6,6,328,50,0
164,2026-09-20T05:44:16Z,6,6,6,6,6,328,50,0
169,2026-09-20T05:44:21Z,6,6,6,6,6,328,50,0
174,2026-09-20T05:44:26Z,6,6,6,6,6,328,50,0
180,2026-09-20T05:44:32Z,6,6,6,6,6,328,50,0
185,2026-09-20T05:44:37Z,6,6,6,6,6,328,50,0
190,2026-09-20T05:44:42Z,6,6,6,6,6,328,50,0
196,2026-09-20T05:44:48Z,6,6,6,6,6,328,50,0
201,2026-09-20T05:44:53Z,6,6,6,6,6,328,50,0
206,2026-09-20T05:44:58Z,10,6,10,10,6,263,50,4
212,2026-09-20T05:45:04Z,10,6,10,10,10,263,50,0
217,2026-09-20T05:45:09Z,10,6,10,10,10,263,50,0
222,2026-09-20T05:45:14Z,10,10,10,10,10,263,50,0
228,2026-09-20T05:45:20Z,10,10,10,10,10,263,50,0
233,2026-09-20T05:45:25Z,10,10,10,10,10,263,50,0
238,2026-09-20T05:45:30Z,10,10,10,10,10,263,50,0
