t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:08:02Z,5,1,5,14,1,212,50,0
5,2026-09-20T13:08:07Z,5,1,5,14,5,212,50,0
10,2026-09-20T13:08:12Z,5,1,5,5,5,212,50,0
15,2026-09-20T13:08:17Z,5,5,5,5,5,1,50,0
21,2026-09-20T13:08:23Z,5,5,5,5,5,1,50,0
26,2026-09-20T13:08:28Z,5,5,5,5,5,1,50,0
31,2026-09-20T13:08:33Z,5,5,5,5,5,1,50,0
36,2026-09-20T13:08:38Z,5,5,5,5,5,1,50,0
42,2026-09-20T13:08:44Z,5,5,5,5,5,1,50,0
47,2026-09-20T13:08:49Z,5,5,5,5,5,1,50,0
52,2026-09-20T13:08:54Z,5,5,5,5,5,1,50,0
58,2026-09-20T13:09:00Z,5,5,5,5,5,1,50,0
63,2026-09-20T13:09:05Z,5,5,5,5,5,1,50,0
68,2026-09-20T13:09:10Z,5,5,5,5,5,1,50,0
73,2026-09-20T13:09:15Z,5,5,5,5,5,16,50,0
79,2026-09-20T13:09:21Z,5,5,5,5,5,16,50,0
84,2026-09-20T13:09:26Z,5,5,5,5,5,16,50,0
89,2026-09-20T13:09:31Z,5,5,5,5,5,16,50,0
95,2026-09-20T13:09:37Z,5,5,5,5,5,16,50,0
100,2026-09-20T13:09:42Z,5,5,5,5,5,16,50,0
105,2026-09-20T13:09:47Z,5,5,5,5,5,16,50,0
110,2026-09-20T13:09:52Z,5,5,5,5,5,16,50,0
116,2026-09-20T13:09:58Z,5,5,5,5,5,16,50,0
121,2026-09-20T13:10:03Z,5,5,5,5,5,16,50,0
126,2026-09-20T13:10:08Z,5,5,5,5,5,16,50,0
132,2026-09-20T13:10:14Z,5,5,5,5,5,16,50,0
137,2026-09-20T13:10:19Z,10,5,10,10,10,314,50,0
142,2026-09-20T13:10:24Z,10,5,10,10,10,314,50,0
148,2026-09-20T13:10:30Z,10,5,10,10,10,314,50,0
153,2026-09-20T13:10:35Z,10,10,10,10,10,314,50,0
158,2026-09-20T13:10:40Z,10,10,10,10,10,314,50,0
163,2026-09-20T13:10:45Z,10,10,10,10,10,314,50,0
169,2026-09-20T13:10:51Z,10,10,10,10,10,314,50,0
174,2026-09-20T13:10:56Z,10,10,10,10,10,314,50,0
179,2026-09-20T13:11:01Z,10,10,10,10,10,314,50,0
184,2026-09-20T13:11:06Z,10,10,10,10,10,314,50,0
190,2026-09-20T13:11:12Z,10,10,10,10,10,314,50,0
195,2026-09-20T13:11:17Z,10,10,10,10,10,104,50,0
