t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T07:36:18Z,1,1,1,10,1,1,50,0
6,2026-09-20T07:36:24Z,1,1,1,10,1,1,50,0
11,2026-09-20T07:36:29Z,1,1,1,1,1,1,50,0
16,2026-09-20T07:36:34Z,1,1,1,1,1,1,50,0
22,2026-09-20T07:36:40Z,1,1,1,1,1,1,50,0
27,2026-09-20T07:36:45Z,1,1,1,1,1,1,50,0
32,2026-09-20T07:36:50Z,1,1,1,1,1,1,50,0
37,2026-09-20T07:36:55Z,1,1,1,1,1,1,50,0
43,2026-09-20T07:37:01Z,1,1,1,1,1,1,50,0
48,2026-09-20T07:37:06Z,1,1,1,1,1,1,50,0
53,2026-09-20T07:37:11Z,1,1,1,1,1,1,50,0
58,2026-09-20T07:37:16Z,1,1,1,1,1,1,50,0
64,2026-09-20T07:37:22Z,1,1,1,1,1,39,50,0
69,2026-09-20T07:37:27Z,1,1,1,1,1,39,50,0
74,2026-09-20T07:37:32Z,1,1,1,1,1,39,50,0
79,2026-09-20T07:37:37Z,1,1,1,1,1,39,50,0
85,2026-09-20T07:37:43Z,1,1,1,1,1,39,50,0
90,2026-09-20T07:37:48Z,5,1,5,5,1,500,50,4
95,2026-09-20T07:37:53Z,5,1,5,5,5,500,50,0
101,2026-09-20T07:37:59Z,5,1,5,5,5,500,50,0
106,2026-09-20T07:38:04Z,10,5,10,10,5,500,50,5
111,2026-09-20T07:38:09Z,10,5,10,10,10,500,50,0
117,2026-09-20T07:38:15Z,10,5,10,10,10,500,50,0
122,2026-09-20T07:38:20Z,10,10,10,10,10,445,50,0
127,2026-09-20T07:38:25Z,10,10,10,10,10,445,50,0
133,2026-09-20T07:38:31Z,10,10,10,10,10,445,50,0
138,2026-09-20T07:38:36Z,10,10,10,10,10,445,50,0
143,2026-09-20T07:38:41Z,10,10,10,10,10,445,50,0
148,2026-09-20T07:38:46Z,10,10,10,10,10,445,50,0
154,2026-09-20T07:38:52Z,10,10,10,10,10,177,50,0
159,2026-09-20T07:38:57Z,10,10,10,10,10,177,50,0
164,2026-09-20T07:39:02Z,10,10,10,10,10,177,50,0
170,2026-09-20T07:39:08Z,10,10,10,10,10,177,50,0
175,2026-09-20T07:39:13Z,10,10,10,10,10,177,50,0
180,2026-09-20T07:39:18Z,10,10,10,10,10,178,50,0
186,2026-09-20T07:39:24Z,10,10,10,10,10,178,50,0
191,2026-09-20T07:39:29Z,10,10,10,10,10,178,50,0
196,2026-09-20T07:39:34Z,10,10,10,10,10,178,50,0
202,2026-09-20T07:39:40Z,10,10,10,10,10,178,50,0
207,2026-09-20T07:39:45Z,10,10,10,10,10,178,50,0
212,2026-09-20T07:39:50Z,10,10,10,10,10,177,50,0
217,2026-09-20T07:39:55Z,10,10,10,10,10,177,50,0
223,2026-09-20T07:40:01Z,10,10,10,10,10,177,50,0
228,2026-09-20T07:40:06Z,10,10,10,10,10,177,50,0
233,2026-09-20T07:40:11Z,10,10,10,10,10,177,50,0
239,2026-09-20T07:40:17Z,10,10,10,10,10,177,50,0
244,2026-09-20T07:40:22Z,10,10,10,10,10,176,50,0
249,2026-09-20T07:40:27Z,10,10,10,10,10,176,50,0
255,2026-09-20T07:40:33Z,10,10,10,10,10,176,50,0
260,2026-09-20T07:40:38Z,10,10,10,10,10,176,50,0
265,2026-09-20T07:40:43Z,10,10,10,10,10,176,50,0
271,2026-09-20T07:40:49Z,10,10,10,10,10,177,50,0
276,2026-09-20T07:40:54Z,10,10,10,10,10,177,50,0
281,2026-09-20T07:40:59Z,10,10,10,10,10,177,50,0
287,2026-09-20T07:41:05Z,10,10,10,10,10,177,50,0
292,2026-09-20T07:41:10Z,10,10,10,10,10,177,50,0
297,2026-09-20T07:41:15Z,10,10,10,10,10,177,50,0
302,2026-09-20T07:41:20Z,10,10,10,10,10,163,50,0
308,2026-09-20T07:41:26Z,10,10,10,10,10,163,50,0
313,2026-09-20T07:41:31Z,10,10,10,10,10,163,50,0
318,2026-09-20T07:41:36Z,10,10,10,10,10,163,50,0
323,2026-09-20T07:41:41Z,10,10,10,10,10,163,50,0
329,2026-09-20T07:41:47Z,10,10,10,10,10,163,50,0
334,2026-09-20T07:41:52Z,10,10,10,10,10,1,50,0
339,2026-09-20T07:41:57Z,10,10,10,10,10,1,50,0
345,2026-09-20T07:42:03Z,10,10,10,10,10,1,50,0
350,2026-09-20T07:42:08Z,10,10,10,10,10,1,50,0
355,2026-09-20T07:42:13Z,10,10,10,10,10,1,50,0
360,2026-09-20T07:42:18Z,10,10,10,10,10,1,50,0
366,2026-09-20T07:42:24Z,10,10,10,10,10,1,50,0
371,2026-09-20T07:42:29Z,10,10,10,10,10,1,50,0
376,2026-09-20T07:42:34Z,10,10,10,10,10,1,50,0
381,2026-09-20T07:42:39Z,10,10,10,10,10,1,50,0
387,2026-09-20T07:42:45Z,10,10,10,10,10,1,50,0
392,2026-09-20T07:42:50Z,10,10,10,10,10,1,50,0
397,2026-09-20T07:42:55Z,10,10,10,10,10,1,50,0
402,2026-09-20T07:43:00Z,10,10,10,10,10,1,50,0
